xid,wse_sA_0020_1218,wse_sA_0100_1218,wse_sA_0200_1218,wse_sA_0500_1218
1,0.0,0.0,0.0,0.0
2,0.0406,0.1477,0.5908,0.5908
6,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0
19,0.0231,0.0667,0.2148,0.2222
21,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0
30,0.078,0.0815,0.0874,0.0928
31,0.0,0.0018,0.0035,0.0413
34,0.0,0.0,0.0,0.0
35,0.0,0.0,0.0,0.0
36,0.0,0.0,0.0,0.0
38,0.0002,0.0002,0.0004,0.0079
40,0.0,0.0,0.0,0.0
41,0.0,0.0,0.0598,1.0
43,0.0,0.0,0.0,0.3695
44,0.0,0.0,0.0,0.0
46,0.0,0.0282,0.0284,0.079
47,0.0,0.0,0.0,0.0
48,0.0,0.0,0.0,0.0
49,0.0068,0.0108,0.0108,0.0116
51,0.0,0.0,0.0,0.0
52,0.0,0.0,0.0,0.0
54,0.0,0.0,0.0,0.0
56,0.0,0.0,0.0,0.0
57,0.0,0.0,0.0,0.0
58,0.0,0.0,0.0,0.0004
59,0.0,0.0,0.0,0.0
61,0.0,0.0,0.0,0.0
62,0.0,0.0004,0.0045,0.0428
63,0.0,0.0,0.0,0.0
64,0.0,0.0,0.0,0.0
66,0.0,0.0,0.0,0.0
67,0.0,0.0,0.0,0.0
68,0.0,0.0,0.0,0.0
70,0.0,0.0,0.0,0.0
71,0.0,0.0,0.0,0.0236
72,0.0,0.0,0.0,0.2514
73,0.0,0.0,0.0,0.0
74,0.0,0.0,0.0,0.0
75,0.0929,0.0972,0.0972,0.2122
76,0.0,0.0,0.0,0.0
79,0.0,0.0005,0.0005,0.0015
80,0.0,0.0,0.0,0.0
81,0.0004,0.0009,0.0028,0.0071
82,0.0,0.0,0.0,0.001
83,0.0,0.0,0.0,0.0
85,0.0,0.0,0.0,0.0
86,0.0,0.0,0.0,0.0
87,0.0,0.0,0.0,0.0
88,0.0,0.0,0.0,0.0
90,0.0,0.0,0.0,0.0
91,0.0,0.0,0.0,0.0
93,1.0,1.0,1.0,1.0
94,0.0,0.0,0.0,0.0038
95,0.0,0.0,0.0,0.0
96,0.0018,0.006,0.007,0.0097
97,0.0,0.0,0.0,0.2314
98,0.0,0.0,0.0002,0.0021
99,0.0,0.0,0.04,0.3677
100,0.0,0.0,0.0,0.0
101,0.0,0.0,0.0,0.025
102,0.0024,0.0145,0.0145,0.0428
103,0.0,0.0,0.0,0.0
104,0.0,0.0,0.0,0.0
105,0.0,0.0,0.0,0.0
106,0.0232,0.1177,0.1545,0.5519
107,0.0,0.0,0.0,0.0
108,0.0,0.0,0.0,0.0
109,0.0,0.0,0.577,0.577
110,0.0,0.0,0.0,0.0
115,0.0,0.0,0.0,0.0
116,0.0,0.0,0.0,0.0286
117,0.0,0.0,0.0,0.0
118,0.0,0.0,0.0,0.9484
119,0.0,0.0,0.0,0.7668
120,0.0,0.0,0.0,0.0
122,0.0,0.0019,0.0061,0.0167
123,0.0,0.0,0.0,0.0
124,0.0,0.0,0.0,0.0
125,0.0,0.0,0.0,0.0
126,0.0,0.0,0.0,0.0
129,0.0,0.0,0.0,0.0
130,0.0,0.0,0.0,0.0
