xid,f0_elv,REGISTRATI,TYP.Precon,TYP_Surfac,TYP_Subsur,_TY_TYPOLOGY,f0_scale
1,0.0,Decision Pending,,,1,"HISTORIC,Cultural Depression,habitation,|STR,STR,STR,STR",1856.1
2,0.0,Decision Pending,1.0,,1,"PRECONTACT,Cultural Material,Subsurface,Lithics|STR,STR,STR,STR",338.5
6,0.0,Decision Pending,1.0,,1,"PRECONTACT,Subsistence Feature,Cultural Depression,Cache Pit",12.5
9,0.0,Registry Candidate,1.0,,1,"PRECONTACT,Cultural Material,Subsurface,Lithics",674.1
10,0.0,Registry Candidate,1.0,,1,"PRECONTACT,Cultural Material,Subsurface,Lithics",427.4
11,0.0,Registry Candidate,1.0,,1,"PRECONTACT,Cultural Material,Subsurface,Lithics",159.1
12,0.0,Registry Candidate,1.0,,1,"PRECONTACT,Habitation Feature,Cultural Depression,Housepit",50.0
13,0.0,Decision Pending,1.0,,1,"PRECONTACT,Cultural Material,Subsurface,Lithics",12.5
14,0.0,Registry Candidate,1.0,,1,"PRECONTACT,Cultural Material,Subsurface,Lithics",50.0
15,0.0,Registry Candidate,1.0,,1,"PRECONTACT,Cultural Material,Subsurface,Lithics",58.5
18,0.0,Decision Pending,1.0,,1,"PRECONTACT,Other Feature,Cultural Depression,Function Unassigned",12.5
19,0.0,Decision Pending,1.0,1.0,1,"PRECONTACT,Subsistence Feature,Cultural Depression,Cache Pit|PRECONTACT,Habitation Feature,Platform|PRECONTACT,Other Feature,Cultural Depression,Function Unassigned|PRECONTACT,Cultural Material,Surface,Lithics|STR,STR,STR,STR",3375.6
21,0.0,Decision Pending,1.0,,1,"PRECONTACT,Other Feature,Cultural Depression,Function Unassigned|STR,STR,STR,STR",36.1
22,0.0,Decision Pending,1.0,,1,"PRECONTACT,Other Feature,Cultural Depression,Function Unassigned|PRECONTACT,Other Feature,Petroform,",32.6
23,0.0,Decision Pending,1.0,,1,"PRECONTACT,Other Feature,Cultural Depression,Function Unassigned|PRECONTACT,Other Feature,Petroform,",12.5
24,0.0,Decision Pending,1.0,,1,"PRECONTACT,Habitation Feature,Cultural Depression,Mat Lodge",1856.2
26,0.0,Registry Candidate,1.0,,1,"PRECONTACT,Subsistence Feature,Cultural Depression,Cache Pit|PRECONTACT,Ceremonial/Religious Feature,Rock Art,Pictograph",269.9
27,0.0,Decision Pending,1.0,1.0,1,"PRECONTACT,Other Feature,Petroform,Cairn|PRECONTACT,Other Feature,Cultural Depression,Function Unassigned|PRECONTACT,Cultural Material,Surface,Lithics|STR,STR,STR,STR",403.9
28,0.0,Decision Pending,1.0,,1,"PRECONTACT,Other Feature,Cultural Depression,Function Unassigned|STR,STR,STR,STR",56.6
29,0.0,Decision Pending,1.0,1.0,1,"PRECONTACT,Cultural Material,Surface,|PRECONTACT,Habitation Feature,Cultural Depression,Sweat Lodge",12.5
30,0.0,Decision Pending,1.0,,1,"PRECONTACT,Habitation Feature,Platform|PRECONTACT,Cultural Material,Subsurface,Lithics|PRECONTACT,Habitation Feature,Cultural Depression,Housepit|PRECONTACT,Human Remains,Burial|STR,STR,STR,STR",42312.3
31,0.0,Decision Pending,1.0,1.0,1,"PRECONTACT,Subsistence Feature,Cultural Depression,Cache Pit|PRECONTACT,Cultural Material,Surface,Lithics",379.2
34,0.0,Decision Pending,1.0,,1,"PRECONTACT,Other Feature,Cultural Depression,Function Unassigned|PRECONTACT,Cultural Material,Subsurface,Lithics|STR,STR,STR,STR",107.0
35,0.0,Registry Candidate,1.0,,1,"PRECONTACT,Subsistence Feature,Cultural Depression,Cache Pit|PRECONTACT,Habitation Feature,Rock Shelter|PRECONTACT,Habitation Feature,Cultural Depression,Mat Lodge",37.8
