xid,0.2,0.05,0.01,0.005,0.002,0.0,ead
1,,0.0,0.0,0.0,0.0,,0.0
2,0.0,13.7431,49.99645,199.9858,199.9858,199.9858,3.93041
6,,0.0,0.0,0.0,0.0,,0.0
9,,0.0,0.0,0.0,0.0,,0.0
10,,0.0,0.0,0.0,0.0,,0.0
11,,0.0,0.0,0.0,0.0,,0.0
12,,0.0,0.0,0.0,0.0,,0.0
13,,0.0,0.0,0.0,0.0,,0.0
14,,0.0,0.0,0.0,0.0,,0.0
15,,0.0,0.0,0.0,0.0,,0.0
18,,0.0,0.0,0.0,0.0,,0.0
19,0.0,77.97636,225.15252,725.07888,750.05832,766.71128,18.01586
21,,0.0,0.0,0.0,0.0,,0.0
22,,0.0,0.0,0.0,0.0,,0.0
23,,0.0,0.0,0.0,0.0,,0.0
24,,0.0,0.0,0.0,0.0,,0.0
26,,0.0,0.0,0.0,0.0,,0.0
27,,0.0,0.0,0.0,0.0,,0.0
28,,0.0,0.0,0.0,0.0,,0.0
29,,0.0,0.0,0.0,0.0,,0.0
30,0.0,3300.3594,3448.45245,3698.09502,3926.58144,4078.90572,419.81206
31,0.0,0.0,0.68256,1.3272,15.66096,25.2168,0.08504
34,,0.0,0.0,0.0,0.0,,0.0
35,,0.0,0.0,0.0,0.0,,0.0
36,,0.0,0.0,0.0,0.0,,0.0
38,0.0,0.29196,0.29196,0.58392,11.53242,18.83142,0.0843
40,,0.0,0.0,0.0,0.0,,0.0
41,0.0,0.0,0.0,1.00464,16.8,27.33024,0.07335
43,0.0,0.0,0.0,0.0,9.2375,15.39583,0.03849
44,,0.0,0.0,0.0,0.0,,0.0
46,0.0,0.0,2.40828,2.42536,6.7466,9.62743,0.09038
47,,0.0,0.0,0.0,0.0,,0.0
48,,0.0,0.0,0.0,0.0,,0.0
49,0.0,17.10404,27.16524,27.16524,29.17748,30.51897,2.44823
51,,0.0,0.0,0.0,0.0,,0.0
52,,0.0,0.0,0.0,0.0,,0.0
54,,0.0,0.0,0.0,0.0,,0.0
56,,0.0,0.0,0.0,0.0,,0.0
57,,0.0,0.0,0.0,0.0,,0.0
58,0.0,0.0,0.0,0.0,5.93124,9.8854,0.02471
59,,0.0,0.0,0.0,0.0,,0.0
61,,0.0,0.0,0.0,0.0,,0.0
62,0.0,0.0,0.45744,5.1462,48.94608,78.146,0.23139
63,,0.0,0.0,0.0,0.0,,0.0
64,,0.0,0.0,0.0,0.0,,0.0
66,,0.0,0.0,0.0,0.0,,0.0
67,,0.0,0.0,0.0,0.0,,0.0
68,,0.0,0.0,0.0,0.0,,0.0
70,,0.0,0.0,0.0,0.0,,0.0
71,0.0,0.0,0.0,0.0,30.66348,51.1058,0.12776
72,0.0,0.0,0.0,0.0,4.67604,7.7934,0.01948
73,,0.0,0.0,0.0,0.0,,0.0
74,,0.0,0.0,0.0,0.0,,0.0
75,0.0,6.9675,7.29,7.29,15.915,21.665,0.91655
76,,0.0,0.0,0.0,0.0,,0.0
79,0.0,0.0,19.77115,19.77115,59.31345,85.67498,0.75789
80,,0.0,0.0,0.0,0.0,,0.0
81,0.0,5.01932,11.29347,35.13524,89.09293,125.06472,1.21928
82,0.0,0.0,0.0,0.0,0.4325,0.72083,0.0018
83,,0.0,0.0,0.0,0.0,,0.0
85,,0.0,0.0,0.0,0.0,,0.0
86,,0.0,0.0,0.0,0.0,,0.0
87,,0.0,0.0,0.0,0.0,,0.0
88,,0.0,0.0,0.0,0.0,,0.0
90,,0.0,0.0,0.0,0.0,,0.0
91,,0.0,0.0,0.0,0.0,,0.0
93,0.0,1856.2,1856.2,1856.2,1856.2,1856.2,232.025
94,0.0,0.0,0.0,0.0,1.97296,3.28827,0.00822
95,,0.0,0.0,0.0,0.0,,0.0
96,0.0,11.72682,39.0894,45.6043,63.19453,74.92135,2.40888
97,0.0,0.0,0.0,0.0,8.88576,14.8096,0.03702
98,0.0,0.0,0.0,7.02398,73.75179,118.237,0.33071
99,0.0,0.0,0.0,1.0,9.1925,14.65417,0.04164
100,,0.0,0.0,0.0,0.0,,0.0
101,0.0,0.0,0.0,0.0,0.87,1.45,0.00362
102,0.0,5.61312,33.9126,33.9126,100.10064,144.226,1.82641
103,,0.0,0.0,0.0,0.0,,0.0
104,,0.0,0.0,0.0,0.0,,0.0
105,,0.0,0.0,0.0,0.0,,0.0
106,0.0,15.76208,79.96538,104.9673,374.96086,554.95657,5.20885
107,,0.0,0.0,0.0,0.0,,0.0
108,,0.0,0.0,0.0,0.0,,0.0
109,0.0,0.0,0.0,149.9623,149.9623,149.9623,1.12472
110,,0.0,0.0,0.0,0.0,,0.0
115,,0.0,0.0,0.0,0.0,,0.0
116,0.0,0.0,0.0,0.0,50.51618,84.19363,0.21048
117,,0.0,0.0,0.0,0.0,,0.0
118,0.0,0.0,0.0,0.0,674.88144,1124.8024,2.81201
119,0.0,0.0,0.0,0.0,499.9536,833.256,2.08314
120,,0.0,0.0,0.0,0.0,,0.0
122,0.0,0.0,11.57689,37.16791,101.75477,144.81268,0.80835
123,,0.0,0.0,0.0,0.0,,0.0
124,,0.0,0.0,0.0,0.0,,0.0
125,,0.0,0.0,0.0,0.0,,0.0
126,,0.0,0.0,0.0,0.0,,0.0
129,,0.0,0.0,0.0,0.0,,0.0
130,,0.0,0.0,0.0,0.0,,0.0
