xid,0.2,0.05,0.01,0.005,0.002,0.0,ead
1,,0.0,0.0,0.0,0.0,,0.0
2,0.0,13.7431,49.99645,199.9858,199.9858,199.9858,3.93041
6,,0.0,0.0,0.0,0.0,,0.0
9,,0.0,0.0,0.0,0.0,,0.0
10,,0.0,0.0,0.0,0.0,,0.0
11,,0.0,0.0,0.0,0.0,,0.0
12,,0.0,0.0,0.0,0.0,,0.0
13,,0.0,0.0,0.0,0.0,,0.0
14,,0.0,0.0,0.0,0.0,,0.0
15,,0.0,0.0,0.0,0.0,,0.0
18,,0.0,0.0,0.0,0.0,,0.0
19,0.0,77.97636,225.15252,725.07888,750.05832,766.71128,18.01586
21,,0.0,0.0,0.0,0.0,,0.0
22,,0.0,0.0,0.0,0.0,,0.0
23,,0.0,0.0,0.0,0.0,,0.0
24,,0.0,0.0,0.0,0.0,,0.0
26,0.0,0.0,0.0,1.29552,6.53158,10.02229,0.03153
27,,0.0,0.0,0.0,0.0,,0.0
28,,0.0,0.0,0.0,0.0,,0.0
29,,0.0,0.0,0.0,0.0,,0.0
30,0.0,3300.3594,3448.45245,3698.09502,3926.58144,4078.90572,419.81206
31,0.0,1.3272,15.66096,22.63824,33.06624,40.01824,0.69169
34,,0.0,0.0,0.0,0.0,,0.0
35,,0.0,0.0,0.0,0.0,,0.0
36,,0.0,0.0,0.0,0.0,,0.0
38,0.0,0.58392,11.53242,25.98444,27.29826,28.17414,0.51531
40,,0.0,0.0,0.0,0.0,,0.0
41,0.0,1.00464,16.8,16.8,16.8,16.8,0.59944
43,0.0,0.0,0.0,0.0,9.2375,15.39583,0.03849
44,,0.0,0.0,0.0,0.0,,0.0
46,0.0,2.42536,6.7466,7.73724,7.73724,7.73724,0.44024
47,,0.0,0.0,0.0,0.0,,0.0
48,,0.0,0.0,0.0,0.0,,0.0
49,0.0,27.16524,29.17748,50.05447,199.96635,299.9076,4.23723
51,,0.0,0.0,0.0,0.0,,0.0
52,,0.0,0.0,0.0,0.0,,0.0
54,,0.0,0.0,0.0,0.0,,0.0
56,,0.0,0.0,0.0,0.0,,0.0
57,,0.0,0.0,0.0,0.0,,0.0
58,0.0,0.0,7.41405,16.31091,32.62182,43.49576,0.35711
59,,0.0,0.0,0.0,0.0,,0.0
61,,0.0,0.0,0.0,0.0,,0.0
62,0.0,5.1462,52.49124,299.96628,650.02224,883.39288,5.37826
63,,0.0,0.0,0.0,0.0,,0.0
64,,0.0,0.0,0.0,0.0,,0.0
66,,0.0,0.0,0.0,0.0,,0.0
67,,0.0,0.0,0.0,0.0,,0.0
68,,0.0,0.0,0.0,0.0,,0.0
70,,0.0,0.0,0.0,0.0,,0.0
71,0.0,0.0,50.02305,824.92557,1174.95699,1408.31127,8.77092
72,0.0,0.0,4.67604,18.6,18.6,18.6,0.24471
73,,0.0,0.0,0.0,0.0,,0.0
74,,0.0,0.0,0.0,0.0,,0.0
75,0.0,7.29,15.915,15.915,15.915,15.915,1.17
76,,0.0,0.0,0.0,0.0,,0.0
79,0.0,19.77115,67.22191,154.21497,407.28569,575.9995,5.60183
80,,0.0,0.0,0.0,0.0,,0.0
81,0.0,35.13524,95.36708,124.22817,75.2898,42.66422,6.21141
82,0.0,0.0,0.4325,0.4325,2.249,3.46,0.02054
83,,0.0,0.0,0.0,0.0,,0.0
85,,0.0,0.0,0.0,0.0,,0.0
86,,0.0,0.0,0.0,0.0,,0.0
87,,0.0,0.0,0.0,0.0,,0.0
88,,0.0,0.0,0.0,0.0,,0.0
90,,0.0,0.0,0.0,0.0,,0.0
91,,0.0,0.0,0.0,0.0,,0.0
93,0.0,1856.2,1856.2,1856.2,1856.2,1856.2,232.025
94,0.0,0.0,1.97296,21.59872,49.99896,68.93245,0.32472
95,,0.0,0.0,0.0,0.0,,0.0
96,0.0,45.6043,69.05794,162.22101,250.17216,308.80626,7.46933
97,0.0,0.0,8.88576,8.88576,38.4,58.07616,0.38955
98,0.0,0.0,0.0,7.02398,73.75179,118.237,0.33071
99,0.0,0.0,0.0,1.0,9.1925,14.65417,0.04164
100,,0.0,0.0,0.0,0.0,,0.0
101,0.0,0.0,0.87,0.87,1.29804,1.5834,0.02788
102,0.0,33.9126,100.10064,199.9674,324.85932,408.1206,7.4941
103,,0.0,0.0,0.0,0.0,,0.0
104,,0.0,0.0,0.0,0.0,,0.0
105,,0.0,0.0,0.0,0.0,,0.0
106,0.0,104.9673,374.96086,399.96278,499.97046,566.64225,21.82493
107,,0.0,0.0,0.0,0.0,,0.0
108,,0.0,0.0,0.0,0.0,,0.0
109,0.0,0.0,0.0,149.9623,149.9623,149.9623,1.12472
110,,0.0,0.0,0.0,0.0,,0.0
115,,0.0,0.0,0.0,0.0,,0.0
116,0.0,0.0,49.98629,149.95887,550.02582,816.73712,3.91633
117,0.0,0.0,0.0,0.0,17.19124,28.65207,0.07163
118,0.0,0.0,699.92976,711.6,711.6,711.6,21.08542
119,0.0,0.0,549.962,624.942,624.942,624.942,17.06121
120,,0.0,0.0,0.0,0.0,,0.0
122,0.0,0.0,11.57689,37.16791,101.75477,144.81268,0.80835
123,,0.0,0.0,0.0,0.0,,0.0
124,,0.0,0.0,0.0,0.0,,0.0
125,,0.0,0.0,0.0,0.0,,0.0
126,,0.0,0.0,0.0,0.0,,0.0
129,,0.0,0.0,0.0,0.0,,0.0
130,,0.0,0.0,0.0,0.0,,0.0
