bid,f0_elv,f0_scale,REGISTRATI,ISHERITAGE,_TY_TYPOLOGY
15577001,0.0,1.0,Registered,Y,
15577002,0.0,1.0,Registered,Y,
5072000,0.0,1.0,Registered,Y,
23726000,0.0,1.0,Registered,Y,
24462000,0.0,1.0,Registered,Y,
24462001,0.0,1.0,Registered,Y,
24670001,0.0,1.0,Registered,Y,
24438000,0.0,1.0,Registered,Y,
5929000,0.0,1.0,Registered,Y,
20324000,0.0,1.0,Registered,Y,
22012000,0.0,1.0,Registered,Y,
4970000,0.0,1.0,Registered,Y,
21221000,0.0,1.0,Registered,Y,
4538000,0.0,1.0,Registered,Y,
21079000,0.0,1.0,Registered,Y,
21848000,0.0,1.0,Registered,Y,
20998000,0.0,1.0,Registered,Y,
4506000,0.0,1.0,Legacy,N,
20921000,0.0,1.0,Registered,Y,
20936001,0.0,1.0,Registered,Y,
20956000,0.0,1.0,Registered,Y,
21224000,0.0,1.0,Registered,Y,
21199000,0.0,1.0,Registered,Y,
22005000,0.0,1.0,Registered,Y,
20982000,0.0,1.0,Registered,Y,
21186000,0.0,1.0,Registered,Y,"HISTORIC,Habitation,single dwelling"
21570000,0.0,1.0,Registered,Y,
21925000,0.0,1.0,Registered,Y,
22040000,0.0,1.0,Registered,Y,
21904000,0.0,1.0,Registered,Y,
21435000,0.0,1.0,Registered,Y,
21430000,0.0,1.0,Registered,Y,
21714000,0.0,1.0,Registered,Y,
21670000,0.0,1.0,Registered,Y,
4531001,0.0,1.0,Registered,Y,
21066001,0.0,1.0,Registered,Y,
21081000,0.0,1.0,Registered,Y,
4619001,0.0,1.0,Registered,Y,
21507000,0.0,1.0,Registered,Y,
21551000,0.0,1.0,Registered,Y,
21482000,0.0,1.0,Registered,Y,
21486001,0.0,1.0,Registered,Y,
21457000,0.0,1.0,Registered,Y,
4843000,0.0,1.0,Registered,Y,
4869000,0.0,1.0,Registered,Y,
4844000,0.0,1.0,Registered,Y,
23340000,0.0,1.0,Registered,Y,
21602000,0.0,1.0,Registered,Y,
21649000,0.0,1.0,Registered,Y,
21649001,0.0,1.0,Registered,Y,
21506000,0.0,1.0,Registered,Y,
21469000,0.0,1.0,Registered,Y,
23333000,0.0,1.0,Registered,Y,
22031001,0.0,1.0,Registered,Y,
4560001,0.0,1.0,Registered,Y,
21472000,0.0,1.0,Registered,Y,
4813000,0.0,1.0,Registered,Y,
4797000,0.0,1.0,Registered,Y,
4801000,0.0,1.0,Registered,Y,
5009000,0.0,1.0,Registered,Y,"HISTORIC,Building,Commercial,unidentified structure|HISTORIC,Building,Commerical,warehouse"
5001000,0.0,1.0,Registered,Y,
5001001,0.0,1.0,Registered,Y,
4838001,0.0,1.0,Registered,Y,
4847000,0.0,1.0,Registered,Y,
4752000,0.0,1.0,Registered,Y,"HISTORIC,Building,Governmental,unidentified structure|HISTORIC,Building,Governmental,firehall"
22219000,0.0,1.0,Registered,Y,
4692000,0.0,1.0,Registered,Y,
4713000,0.0,1.0,Registered,Y,
4714000,0.0,1.0,Registered,Y,
4851000,0.0,1.0,Registered,Y,
21141000,0.0,1.0,Registered,Y,
21888000,0.0,1.0,Registered,Y,
21122000,0.0,1.0,Registered,Y,
4841000,0.0,1.0,Registered,Y,
21410000,0.0,1.0,Registered,Y,
4838000,0.0,1.0,Registered,Y,
5071000,0.0,1.0,Registered,Y,
22685000,0.0,1.0,Registered,Y,
22685001,0.0,1.0,Registered,Y,
22685002,0.0,1.0,Registered,Y,
22685003,0.0,1.0,Registered,Y,
17030001,0.0,1.0,Registered,Y,
3531000,0.0,1.0,Registered,Y,"HISTORIC,Building,Religious,church|STR,STR,STR,STR"
21305000,0.0,1.0,Registered,Y,
21305001,0.0,1.0,Registered,Y,
21355000,0.0,1.0,Registered,Y,
21185000,0.0,1.0,Registered,Y,
21057001,0.0,1.0,Registered,Y,
20642000,0.0,1.0,Registered,Y,
23500000,0.0,1.0,Registered,Y,
21673000,0.0,1.0,Registered,Y,
21483000,0.0,1.0,Registered,Y,
20919001,0.0,1.0,Registered,Y,
20357000,0.0,1.0,Registered,Y,
4504000,0.0,1.0,Registered,Y,
1143000,0.0,1.0,Registered,Y,
6175002,0.0,1.0,Registered,Y,"HISTORIC,Habitation,single dwelling"
26347000,0.0,1.0,Registered,Y,
26347001,0.0,1.0,Registered,Y,
26347002,0.0,1.0,Registered,Y,
26700001,0.0,1.0,Registered,Y,
27010001,0.0,1.0,Registered,Y,
2982000,0.0,1.0,Registered,Y,
2608000,0.0,1.0,Registered,Y,
3359000,0.0,1.0,Registered,Y,
3054000,0.0,1.0,Registered,Y,
12744001,0.0,1.0,Registered,Y,
12744002,0.0,1.0,Registered,Y,
13019000,0.0,1.0,Registered,Y,
12854000,0.0,1.0,Registered,Y,
12878000,0.0,1.0,Registered,Y,
2141001,0.0,1.0,Registered,Y,
2322000,0.0,1.0,Registered,Y,
2598000,0.0,1.0,Registered,Y,
2004001,0.0,1.0,Registered,Y,
2926001,0.0,1.0,Registered,Y,
2881000,0.0,1.0,Registered,Y,"HISTORIC,Transportation,Marine,sternwheeler"
2919000,0.0,1.0,Legacy,N,
13922001,0.0,1.0,Registered,Y,
13932000,0.0,1.0,Registered,Y,
2841001,0.0,1.0,Registered,Y,
3440000,0.0,1.0,Registered,Y,
2678000,0.0,1.0,Registered,Y,
2899000,0.0,1.0,Registered,Y,
2899001,0.0,1.0,Registered,Y,
13936000,0.0,1.0,Registered,Y,
3402000,0.0,1.0,Registered,Y,
2061000,0.0,1.0,Registered,Y,
13610000,0.0,1.0,Registered,Y,
3440001,0.0,1.0,Registered,Y,
2427000,0.0,1.0,Registered,Y,
2733000,0.0,1.0,Registered,Y,
1964000,0.0,1.0,Registered,Y,
13196001,0.0,1.0,Registered,Y,
2417000,0.0,1.0,Registered,Y,
14845000,0.0,1.0,Registered,Y,
2963000,0.0,1.0,Registered,Y,
2851000,0.0,1.0,Registered,Y,
2092000,0.0,1.0,Registered,Y,
13181000,0.0,1.0,Registered,Y,"HISTORIC,Building,Educational,school"
13507000,0.0,1.0,Registered,Y,
254399,0.0,1.0,Registered,Y,
254420,0.0,1.0,Registered,Y,
