bid,0.2,0.05,0.01,0.005,0.002,0.0,ead
254399,,0.0,0.0,0.0,0.0,,0.0
254420,,0.0,0.0,0.0,0.0,,0.0
1143000,,0.0,0.0,0.0,0.0,,0.0
1964000,,0.0,0.0,0.0,0.0,,0.0
2004001,,0.0,0.0,0.0,0.0,,0.0
2061000,,0.0,0.0,0.0,0.0,,0.0
2092000,,0.0,0.0,0.0,0.0,,0.0
2141001,,0.0,0.0,0.0,0.0,,0.0
2322000,,0.0,0.0,0.0,0.0,,0.0
2417000,,0.0,0.0,0.0,0.0,,0.0
2427000,,0.0,0.0,0.0,0.0,,0.0
2598000,,0.0,0.0,0.0,0.0,,0.0
2608000,,0.0,0.0,0.0,0.0,,0.0
2678000,,0.0,0.0,0.0,0.0,,0.0
2733000,,0.0,0.0,0.0,0.0,,0.0
2841001,,0.0,0.0,0.0,0.0,,0.0
2851000,,0.0,0.0,0.0,0.0,,0.0
2881000,0.0,0.0,1.0,1.0,1.0,1.0,0.03
2899000,,0.0,0.0,0.0,0.0,,0.0
2899001,,0.0,0.0,0.0,0.0,,0.0
2919000,,0.0,0.0,0.0,0.0,,0.0
2926001,,0.0,0.0,0.0,0.0,,0.0
2963000,,0.0,0.0,0.0,0.0,,0.0
2982000,,0.0,0.0,0.0,0.0,,0.0
3054000,,0.0,0.0,0.0,0.0,,0.0
3359000,,0.0,0.0,0.0,0.0,,0.0
3402000,,0.0,0.0,0.0,0.0,,0.0
3440000,,0.0,0.0,0.0,0.0,,0.0
3440001,,0.0,0.0,0.0,0.0,,0.0
3531000,,0.0,0.0,0.0,0.0,,0.0
4504000,,0.0,0.0,0.0,0.0,,0.0
4506000,0.0,0.0,0.0,0.0,1.0,1.667,0.004
4531001,0.0,0.0,0.0,1.0,1.0,1.0,0.008
4538000,0.0,0.0,0.0,0.0,1.0,1.667,0.004
4560001,0.0,0.0,1.0,1.0,1.0,1.0,0.03
4619001,0.0,1.0,1.0,1.0,1.0,1.0,0.125
4692000,,0.0,0.0,0.0,0.0,,0.0
4713000,,0.0,0.0,0.0,0.0,,0.0
4714000,,0.0,0.0,0.0,0.0,,0.0
4752000,,0.0,0.0,0.0,0.0,,0.0
4797000,0.0,0.0,0.0,0.0,1.0,1.667,0.004
4801000,0.0,0.0,0.0,1.0,1.0,1.0,0.008
4813000,,0.0,0.0,0.0,0.0,,0.0
4838000,,0.0,0.0,0.0,0.0,,0.0
4838001,,0.0,0.0,0.0,0.0,,0.0
4841000,,0.0,0.0,0.0,0.0,,0.0
4843000,,0.0,0.0,0.0,0.0,,0.0
4844000,,0.0,0.0,0.0,0.0,,0.0
4847000,,0.0,0.0,0.0,0.0,,0.0
4851000,,0.0,0.0,0.0,0.0,,0.0
4869000,,0.0,0.0,0.0,0.0,,0.0
4970000,0.0,0.0,0.0,0.0,1.0,1.667,0.004
5001000,,0.0,0.0,0.0,0.0,,0.0
5001001,0.0,0.0,0.0,0.0,1.0,1.667,0.004
5009000,,0.0,0.0,0.0,0.0,,0.0
5071000,,0.0,0.0,0.0,0.0,,0.0
5072000,,0.0,0.0,0.0,0.0,,0.0
5929000,0.0,0.0,1.0,1.0,1.0,1.0,0.03
6175002,,0.0,0.0,0.0,0.0,,0.0
12744001,,0.0,0.0,0.0,0.0,,0.0
12744002,,0.0,0.0,0.0,0.0,,0.0
12854000,,0.0,0.0,0.0,0.0,,0.0
