nestID,bidx,bid,felv,fscale,gels,wse_sA_0020_1218_dep,wse_sA_0100_1218_dep,wse_sA_0200_1218_dep,wse_sA_0500_1218_dep
f0,0,770000,300.82,1.0,300.32,-21.3,-20.75,-20.46,-20.14
f0,1,1113000,343.71,1.0,343.21,-4.34,-3.99,-3.73,-3.69
f0,2,1213000,339.77,1.0,339.27,-0.4,-0.05,0.21,0.25
f0,3,1214000,339.82,1.0,339.32,-0.45,-0.1,0.16,0.2
f0,4,1214001,340.26,1.0,339.76,-0.89,-0.54,-0.23,-0.24
f0,5,1214002,340.35,1.0,339.85,-0.98,-0.63,-0.32,-0.33
f0,6,1215000,340.31,1.0,339.81,-0.94,-0.59,-0.28,-0.259
f0,7,1216000,340.4,1.0,339.9,-1.03,-0.68,-0.37,-0.352
f0,8,1502000,346.05,1.0,345.55,-6.68,-6.33,-6.07,-6.03
f0,9,1503000,346.06,1.0,345.56,-6.69,-6.34,-6.08,-6.04
f0,10,1504000,346.02,1.0,345.52,-6.65,-6.3,-6.04,-6.0
f0,11,1638000,350.3,1.0,349.8,-10.93,-10.58,-10.32,-10.28
f0,12,1638001,350.66,1.0,350.16,-11.29,-10.94,-10.68,-10.64
f0,13,1638002,350.74,1.0,350.24,-11.37,-11.02,-10.76,-10.72
f0,14,2090000,359.78,1.0,359.28,-20.41,-20.06,-19.8,-19.76
f0,15,2091000,360.11,1.0,359.61,-20.74,-20.39,-20.13,-20.09
f0,16,2092000,360.36,1.0,359.86,-20.99,-20.64,-20.38,-20.34
f0,17,2093000,360.55,1.0,360.05,-21.18,-20.83,-20.57,-20.53
f0,18,2094000,359.65,1.0,359.15,-20.28,-19.93,-19.67,-19.63
f0,19,2108000,358.06,1.0,357.56,-18.69,-18.34,-18.08,-18.04
f0,20,2124000,361.99,1.0,361.49,-22.62,-22.27,-22.01,-21.97
f0,21,2125000,362.06,1.0,361.56,-22.69,-22.34,-22.08,-22.04
f0,22,2287000,354.2,1.0,353.7,-14.83,-14.48,-14.22,-14.18
f0,23,2288000,353.59,1.0,353.09,-14.22,-13.87,-13.61,-13.57
f0,24,2364000,348.55,1.0,348.05,-9.18,-8.83,-8.57,-8.53
f0,25,2365000,348.43,1.0,347.93,-9.06,-8.71,-8.45,-8.41
f0,26,2366001,348.42,1.0,347.92,-9.05,-8.7,-8.44,-8.4
f0,27,2367000,348.43,1.0,347.93,-9.06,-8.71,-8.45,-8.41
f0,28,2368000,348.47,1.0,347.97,-9.1,-8.75,-8.49,-8.45
f0,29,2369000,348.2,1.0,347.7,-8.83,-8.48,-8.22,-8.18
f0,30,2427000,350.33,1.0,349.83,-10.96,-10.61,-10.35,-10.31
f0,31,2428000,350.51,1.0,350.01,-11.14,-10.79,-10.53,-10.49
f0,32,2494000,350.98,1.0,350.48,-11.61,-11.26,-11.0,-10.96
f0,33,2605000,346.49,1.0,345.99,-7.12,-6.77,-6.51,-6.47
f0,34,2605001,346.75,1.0,346.25,-7.38,-7.03,-6.77,-6.73
f0,35,2705000,342.93,1.0,342.43,-3.56,-3.21,-2.95,-2.91
f0,36,2706000,342.92,1.0,342.42,-3.55,-3.2,-2.94,-2.9
f0,37,2870000,343.89,1.0,343.39,-1.0,-0.53,-0.41,-0.05
f0,38,2881000,344.14,1.0,343.64,-1.25,-0.78,-0.66,-0.3
f0,39,3029000,344.92,1.0,344.42,-2.03,-1.56,-1.44,-1.08
f0,40,3100000,344.75,1.0,344.25,-1.86,-1.39,-1.27,-0.91
f0,41,3100001,344.24,1.0,343.74,-1.35,-0.88,-0.76,-0.4
f0,42,3100002,344.26,1.0,343.76,-1.37,-0.9,-0.78,-0.42
f0,43,3101000,344.67,1.0,344.17,-1.78,-1.31,-1.19,-0.83
f0,44,3315000,344.36,1.0,343.86,-1.47,-1.0,-0.88,-0.52
f0,45,3315001,345.2,1.0,344.7,-2.31,-1.84,-1.72,-1.36
f0,46,3315002,343.73,1.0,343.23,-0.84,-0.37,-0.25,0.11
f0,47,3364000,346.44,1.0,345.94,-7.07,-6.72,-6.46,-6.42
f0,48,3440000,353.42,1.0,352.92,-14.05,-13.7,-13.44,-13.4
f0,49,3440001,354.01,1.0,353.51,-14.64,-14.29,-14.03,-13.99
f0,50,3531000,346.51,1.0,346.01,-3.62,-3.15,-3.03,-2.67
f0,51,3562000,346.4,1.0,345.9,-3.51,-3.04,-2.92,-2.56
f0,52,3563000,346.54,1.0,346.04,-3.65,-3.18,-3.06,-2.7
f0,53,3589000,345.38,1.0,344.88,-2.49,-2.02,-1.9,-1.54
f0,54,3589001,345.44,1.0,344.94,-2.55,-2.08,-1.96,-1.6
f0,55,3606000,344.69,1.0,344.19,-1.8,-1.33,-1.21,-0.85
f0,56,3607000,344.78,1.0,344.28,-1.89,-1.42,-1.3,-0.94
f0,57,4010001,344.34,1.0,343.84,-1.45,-0.98,-0.86,-0.5
f0,58,4243000,345.05,1.0,344.55,-2.16,-1.69,-1.57,-1.21
f0,59,4644000,345.5,1.0,345.0,-2.61,-2.14,-2.02,-1.66
f0,60,4644001,345.78,1.0,345.28,-2.89,-2.42,-2.3,-1.94
f0,61,4674000,344.83,1.0,344.33,-1.94,-1.47,-1.35,-0.99
f0,62,4713000,345.65,1.0,345.15,-2.76,-2.29,-2.17,-1.81
f0,63,4714000,345.84,1.0,345.34,-2.95,-2.48,-2.36,-2.0
f0,64,4915000,344.79,1.0,344.29,-1.9,-1.43,-1.31,-0.95
