bid,wse_sA_0020_1218,wse_sA_0100_1218,wse_sA_0200_1218,wse_sA_0500_1218
10351000,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
8716000,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
15138001,342.8900146484375,343.3599853515625,343.4800109863281,343.8399963378906
5074003,342.8900146484375,343.3599853515625,343.4800109863281,343.8399963378906
8725000,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
8717000,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
4644000,342.8900146484375,343.3599853515625,343.4800109863281,343.8399963378906
22162001,342.8900146484375,343.3599853515625,343.4800109863281,343.8399963378906
13629000,339.3699951171875,339.7200012207031,339.9800109863281,340.0199890136719
5621001,392.29998779296875,392.7699890136719,392.8399963378906,392.989990234375
15138000,342.8900146484375,343.3599853515625,343.4800109863281,343.8399963378906
13626000,339.3699951171875,339.7200012207031,339.9800109863281,340.0199890136719
2605000,339.3699951171875,339.7200012207031,339.9800109863281,340.0199890136719
13257000,339.3699951171875,339.7200012207031,339.9800109863281,340.0199890136719
11364000,339.3699951171875,339.7200012207031,339.9800109863281,340.0199890136719
11861000,339.3699951171875,339.7200012207031,339.9800109863281,340.0199890136719
25737001,392.29998779296875,392.7699890136719,392.8399963378906,392.989990234375
14047000,342.8900146484375,343.3599853515625,343.4800109863281,343.8399963378906
17596001,342.8900146484375,343.3599853515625,343.4800109863281,343.8399963378906
9147005,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
14047001,342.8900146484375,343.3599853515625,343.4800109863281,343.8399963378906
3100000,342.8900146484375,343.3599853515625,343.4800109863281,343.8399963378906
1214002,339.3699951171875,339.7200012207031,340.0299987792969,340.0199890136719
3101000,342.8900146484375,343.3599853515625,343.4800109863281,343.8399963378906
11349000,339.3699951171875,339.7200012207031,340.0299987792969,340.0199890136719
10320000,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
13235000,339.3699951171875,339.7200012207031,339.9800109863281,340.0199890136719
1214001,339.3699951171875,339.7200012207031,340.0299987792969,340.0199890136719
11340000,339.3699951171875,339.7200012207031,340.0299987792969,340.0199890136719
9041002,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
23773000,342.8900146484375,343.3599853515625,343.4800109863281,343.8399963378906
27848000,342.8900146484375,343.3599853515625,343.4800109863281,343.8399963378906
5074001,342.8900146484375,343.3599853515625,343.4800109863281,343.8399963378906
5074002,342.8900146484375,343.3599853515625,343.4800109863281,343.8399963378906
770000,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
9041001,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
10948000,339.3699951171875,339.7200012207031,339.9800109863281,340.0199890136719
15058000,342.8900146484375,343.3599853515625,343.4800109863281,343.8399963378906
5074000,342.8900146484375,343.3599853515625,343.4800109863281,343.8399963378906
4010001,342.8900146484375,343.3599853515625,343.4800109863281,343.8399963378906
22162000,342.8900146484375,343.3599853515625,343.4800109863281,343.8399963378906
11552001,339.3699951171875,339.7200012207031,339.9800109863281,340.0199890136719
3100002,342.8900146484375,343.3599853515625,343.4800109863281,343.8399963378906
3607000,342.8900146484375,343.3599853515625,343.4800109863281,343.8399963378906
3606000,342.8900146484375,343.3599853515625,343.4800109863281,343.8399963378906
3589000,342.8900146484375,343.3599853515625,343.4800109863281,343.8399963378906
3589001,342.8900146484375,343.3599853515625,343.4800109863281,343.8399963378906
17219001,342.8900146484375,343.3599853515625,343.4800109863281,343.8399963378906
9041000,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
2494000,339.3699951171875,339.7200012207031,339.9800109863281,340.0199890136719
6175002,392.29998779296875,392.7699890136719,392.8399963378906,392.989990234375
6621000,342.8900146484375,343.3599853515625,343.4800109863281,343.8399963378906
5621000,392.29998779296875,392.7699890136719,392.8399963378906,392.989990234375
24192000,342.8900146484375,343.3599853515625,343.4800109863281,343.8399963378906
9147004,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
3563000,342.8900146484375,343.3599853515625,343.4800109863281,343.8399963378906
3100001,342.8900146484375,343.3599853515625,343.4800109863281,343.8399963378906
3029000,342.8900146484375,343.3599853515625,343.4800109863281,343.8399963378906
22921000,342.8900146484375,343.3599853515625,343.4800109863281,343.8399963378906
12863001,339.3699951171875,339.7200012207031,339.9800109863281,340.0199890136719
22916000,342.8900146484375,343.3599853515625,343.4800109863281,343.8399963378906
25985001,342.8900146484375,343.3599853515625,343.4800109863281,343.8399963378906
25985000,342.8900146484375,343.3599853515625,343.4800109863281,343.8399963378906
15188004,342.8900146484375,343.3599853515625,343.4800109863281,343.8399963378906
3562000,342.8900146484375,343.3599853515625,343.4800109863281,343.8399963378906
5001000,342.8900146484375,343.3599853515625,343.4800109863281,343.8399963378906
15720001,342.8900146484375,343.3599853515625,343.4800109863281,343.8399963378906
3531000,342.8900146484375,343.3599853515625,343.4800109863281,343.8399963378906
15380000,342.8900146484375,343.3599853515625,343.4800109863281,343.8399963378906
5011000,342.8900146484375,343.3599853515625,343.4800109863281,343.8399963378906
6158001,392.29998779296875,392.7699890136719,392.8399963378906,392.989990234375
15188003,342.8900146484375,343.3599853515625,343.4800109863281,343.8399963378906
5010000,342.8900146484375,343.3599853515625,343.4800109863281,343.8399963378906
5556000,342.8900146484375,343.3599853515625,343.4800109863281,343.8399963378906
22092000,342.8900146484375,343.3599853515625,343.4800109863281,343.8399963378906
5929003,342.8900146484375,343.3599853515625,343.4800109863281,343.8399963378906
1216000,339.3699951171875,339.7200012207031,340.0299987792969,340.0481872558594
5929002,342.8900146484375,343.3599853515625,343.4800109863281,343.8399963378906
1214000,339.3699951171875,339.7200012207031,339.9800109863281,340.0199890136719
16612000,342.8900146484375,343.3599853515625,343.4800109863281,343.8399963378906
5929001,342.8900146484375,343.3599853515625,343.4800109863281,343.8399963378906
1215000,339.3699951171875,339.7200012207031,340.0299987792969,340.05126953125
27404006,342.8900146484375,343.3599853515625,343.4800109863281,343.8399963378906
