bid,0.2,0.05,0.01,0.005,0.002,0.0,ead
770000,,0.0,0.0,0.0,0.0,,0.0
1113000,,0.0,0.0,0.0,0.0,,0.0
1213000,0.0,0.0,0.0,1.0,1.0,1.0,0.008
1214000,0.0,0.0,0.0,1.0,1.0,1.0,0.008
1214001,,0.0,0.0,0.0,0.0,,0.0
1214002,,0.0,0.0,0.0,0.0,,0.0
1215000,,0.0,0.0,0.0,0.0,,0.0
1216000,,0.0,0.0,0.0,0.0,,0.0
1502000,,0.0,0.0,0.0,0.0,,0.0
1503000,,0.0,0.0,0.0,0.0,,0.0
1504000,,0.0,0.0,0.0,0.0,,0.0
1638000,,0.0,0.0,0.0,0.0,,0.0
1638001,,0.0,0.0,0.0,0.0,,0.0
1638002,,0.0,0.0,0.0,0.0,,0.0
2090000,,0.0,0.0,0.0,0.0,,0.0
2091000,,0.0,0.0,0.0,0.0,,0.0
2092000,,0.0,0.0,0.0,0.0,,0.0
2093000,,0.0,0.0,0.0,0.0,,0.0
2094000,,0.0,0.0,0.0,0.0,,0.0
2108000,,0.0,0.0,0.0,0.0,,0.0
2124000,,0.0,0.0,0.0,0.0,,0.0
2125000,,0.0,0.0,0.0,0.0,,0.0
2287000,,0.0,0.0,0.0,0.0,,0.0
2288000,,0.0,0.0,0.0,0.0,,0.0
2364000,,0.0,0.0,0.0,0.0,,0.0
2365000,,0.0,0.0,0.0,0.0,,0.0
2366001,,0.0,0.0,0.0,0.0,,0.0
2367000,,0.0,0.0,0.0,0.0,,0.0
2368000,,0.0,0.0,0.0,0.0,,0.0
2369000,,0.0,0.0,0.0,0.0,,0.0
2427000,,0.0,0.0,0.0,0.0,,0.0
2428000,,0.0,0.0,0.0,0.0,,0.0
2494000,,0.0,0.0,0.0,0.0,,0.0
2605000,,0.0,0.0,0.0,0.0,,0.0
2605001,,0.0,0.0,0.0,0.0,,0.0
2705000,,0.0,0.0,0.0,0.0,,0.0
2706000,,0.0,0.0,0.0,0.0,,0.0
2870000,0.0,0.0,0.0,1.0,1.0,1.0,0.008
2881000,0.0,0.0,0.0,0.0,1.0,1.667,0.004
3029000,,0.0,0.0,0.0,0.0,,0.0
3100000,,0.0,0.0,0.0,0.0,,0.0
3100001,0.0,0.0,0.0,0.0,1.0,1.667,0.004
