bid,wse_sA_0020_1218,wse_sA_0100_1218,wse_sA_0200_1218,wse_sA_0500_1218
1000,0.0,22916.666666666664,33509.52380952381,39378.571428571435
1001,0.0,0.0,0.0,0.0
1006,0.0,0.0,0.0,0.0
1007,0.0,0.0,0.0,0.0
1008,0.0,0.0,0.0,0.0
1009,0.0,0.0,0.0,0.0
1010,0.0,0.0,0.0,0.0
1011,0.0,0.0,0.0,0.0
1013,0.0,0.0,0.0,0.0
1014,0.0,0.0,0.0,0.0
1015,0.0,0.0,0.0,0.0
1016,0.0,32840.0,48062.857142857145,56840.0
1017,0.0,0.0,0.0,0.0
1018,0.0,0.0,0.0,0.0
1019,0.0,0.0,0.0,0.0
1020,0.0,0.0,5180.0,41060.0
1021,0.0,0.0,0.0,0.0
1022,0.0,0.0,0.0,0.0
1023,0.0,0.0,0.0,0.0
1024,0.0,0.0,0.0,0.0
1025,0.0,0.0,0.0,0.0
1026,0.0,0.0,0.0,0.0
1027,0.0,0.0,0.0,0.0
1028,0.0,0.0,0.0,0.0
1029,0.0,42500.0,49460.0,56900.0
1030,0.0,0.0,0.0,0.0
1031,0.0,23885.714285714286,27862.857142857145,32251.42857142857
1032,27014.285714285714,36442.857142857145,38500.0,38500.0
1033,0.0,0.0,0.0,0.0
1034,0.0,0.0,0.0,0.0
1035,0.0,0.0,0.0,0.0
1036,0.0,0.0,0.0,0.0
1037,0.0,0.0,0.0,0.0
1038,0.0,0.0,0.0,0.0
1039,0.0,0.0,0.0,0.0
1040,0.0,0.0,0.0,0.0
2000,15600.0,15600.0,15600.0,107582.4
2001,42900.0,42900.0,42900.0,327542.82499999995
3000,48000.0,48000.0,48000.0,166578.0
6001,0.0,0.0,0.0,0.0
7001,0.0,0.0,0.0,0.0
8000,0.0,0.0,0.0,0.0
10000,46000.0,46000.0,46000.0,46000.0
11000,10400.0,10400.0,10400.0,90054.53333333333
11001,10400.0,10400.0,10400.0,95404.46666666667
11002,20800.0,20800.0,147115.59999999998,164176.53333333333
15000,18200.0,18200.0,18200.0,58442.299999999996
16000,0.0,0.0,0.0,0.0
18000,45500.0,388160.0,420663.3333333334,444692.5833333334
19000,0.0,0.0,0.0,0.0
20000,0.0,0.0,0.0,0.0
21000,39000.0,366766.75,398970.0,431040.0
22000,0.0,11700.0,11700.0,11700.0
22001,0.0,0.0,0.0,0.0
22002,0.0,0.0,0.0,0.0
24000,16900.0,153026.03333333333,167563.5,182174.19999999998
24001,11700.0,47273.4,111478.5,121842.0
24002,10400.0,18305.2,98216.0,107507.20000000001
25000,0.0,0.0,0.0,0.0
28000,0.0,0.0,0.0,6000.0
28001,0.0,14000.0,14000.0,14000.0
28002,0.0,0.0,0.0,10000.0
28003,0.0,0.0,0.0,10000.0
28004,0.0,0.0,0.0,12000.0
28005,18000.0,84759.525,98762.16,110037.102
28006,18000.0,97568.16,107019.864,117603.48
28007,22000.0,110145.5575,123992.80666666667,139231.16533333334
28008,0.0,0.0,0.0,0.0
28009,0.0,0.0,0.0,0.0
28010,16000.0,16000.0,16000.0,16000.0
28011,8000.0,8000.0,8000.0,8000.0
28012,12000.0,12000.0,12000.0,12000.0
28013,12000.0,12000.0,12000.0,12000.0
28014,10000.0,10000.0,10000.0,10000.0
28015,20000.0,20000.0,27363.0,107414.06666666667
28016,0.0,14000.0,14000.0,14000.0
28017,6000.0,6000.0,6000.0,6000.0
28018,0.0,0.0,0.0,12000.0
28019,18000.0,18000.0,18000.0,90119.0925
28020,16000.0,16000.0,79047.18,90441.92
28021,0.0,10000.0,10000.0,10000.0
28022,0.0,20000.0,20000.0,20000.0
28023,10000.0,10000.0,10000.0,10000.0
28024,10000.0,10000.0,10000.0,10000.0
28025,16000.0,16000.0,16000.0,16000.0
28026,8000.0,8000.0,39523.59,45220.96
28027,36000.0,36000.0,36000.0,36000.0
28028,0.0,18000.0,18000.0,18000.0
28029,38000.0,59352.7,247694.83333333334,277896.4
28030,22000.0,22000.0,22000.0,22000.0
28031,14000.0,70555.8,79136.68,88936.89933333333
28032,16000.0,16000.0,75871.14,88849.92
28033,16000.0,16000.0,16000.0,16000.0
28034,6000.0,6000.0,6000.0,29444.19
28035,12000.0,12000.0,12000.0,62064.42
28036,10000.0,10000.0,10000.0,10000.0
28037,20000.0,20000.0,20000.0,20000.0
28038,16000.0,76400.48,88319.25333333333,98577.04
28039,16000.0,75871.14,88053.92,98193.89866666668
28040,22000.0,22000.0,30099.3,118155.47333333333
28041,18000.0,18000.0,18000.0,92501.1225
28042,16000.0,82223.22,91237.92000000001,102791.59466666666
28043,14000.0,14000.0,65460.9025,77279.34666666666
28044,22000.0,22000.0,22000.0,103594.975
28045,16000.0,16000.0,16000.0,80635.2
28046,12000.0,12000.0,12000.0,14208.9
28047,18000.0,88332.56999999999,100553.16,112623.30600000001
28048,30000.0,30000.0,30000.0,30000.0
28049,22000.0,22000.0,54397.2,120344.47333333333
28050,18000.0,91310.10750000001,102045.66,114778.476
28051,16000.0,16000.0,16000.0,76400.48
28052,38000.0,38000.0,38000.0,38000.0
28053,16000.0,16000.0,74812.46,88319.25333333333
28054,0.0,0.0,12000.0,12000.0
28055,0.0,0.0,0.0,10000.0
28056,16000.0,16000.0,79576.52,90707.25333333334
30000,0.0,52550.83333333333,57360.0,61373.166666666664
30001,0.0,83106.33333333334,93467.6,101530.41666666666
30002,0.0,73118.66666666667,79645.86666666667,81980.8
31000,0.0,44337.142857142855,52291.42857142857,58600.0
42000,0.0,0.0,0.0,0.0
43000,0.0,0.0,0.0,0.0
44000,10000.0,10000.0,10000.0,10000.0
53000,0.0,0.0,0.0,0.0
54000,0.0,0.0,0.0,0.0
57000,0.0,0.0,0.0,0.0
58000,0.0,0.0,0.0,0.0
60000,0.0,0.0,0.0,0.0
62000,0.0,0.0,0.0,0.0
64001,0.0,0.0,0.0,0.0
68000,0.0,0.0,0.0,0.0
73000,52000.0,304487.3,340041.0,369856.93333333335
74000,0.0,0.0,0.0,0.0
77000,30000.0,30000.0,30000.0,30000.0
77001,0.0,0.0,0.0,0.0
78000,0.0,0.0,0.0,0.0
79000,0.0,0.0,0.0,0.0
80000,0.0,0.0,0.0,0.0
81000,25730.4,99580.0,105894.93333333332,107486.93333333333
82000,32500.0,313112.5,339003.3333333334,357610.0
83001,0.0,0.0,0.0,0.0
85001,20800.0,201688.0,218201.60000000003,231485.3333333333
86000,0.0,0.0,0.0,0.0
88000,0.0,0.0,0.0,0.0
89000,0.0,0.0,0.0,0.0
91000,36000.0,36000.0,36000.0,36000.0
93000,0.0,0.0,0.0,0.0
94000,0.0,0.0,0.0,0.0
97000,0.0,144300.0,144300.0,144300.0
97001,45500.0,45500.0,45500.0,45500.0
97002,11700.0,11700.0,11700.0,11700.0
97003,45500.0,45500.0,45500.0,45500.0
98000,0.0,0.0,0.0,10000.0
105000,54000.0,54000.0,54000.0,54000.0
106000,0.0,0.0,0.0,0.0
109000,164194.125,199218.0,212643.75,220146.75
110000,0.0,0.0,0.0,0.0
111000,0.0,0.0,0.0,0.0
112000,0.0,0.0,0.0,0.0
114000,62000.0,62000.0,62000.0,62000.0
119000,0.0,0.0,0.0,0.0
123000,0.0,0.0,0.0,0.0
124000,0.0,0.0,0.0,0.0
127000,48000.0,48000.0,48000.0,142862.4
129000,0.0,0.0,0.0,0.0
131000,0.0,0.0,0.0,0.0
134000,41600.0,41600.0,41600.0,370094.93333333335
136000,54000.0,54000.0,54000.0,54000.0
144000,0.0,0.0,0.0,0.0
145000,0.0,0.0,0.0,0.0
146000,0.0,0.0,0.0,0.0
146001,0.0,0.0,0.0,0.0
146002,36000.0,36000.0,36000.0,36000.0
151000,0.0,0.0,0.0,0.0
156001,0.0,0.0,0.0,0.0
159000,27300.0,27300.0,27300.0,233952.6
160001,80000.0,484445.6666666666,533360.0,578773.3333333333
162000,29000.0,29000.0,29000.0,29000.0
162001,29000.0,29000.0,29000.0,29000.0
173000,32000.0,32000.0,47330.4,204584.0
174000,0.0,0.0,0.0,0.0
177000,22100.0,22100.0,22100.0,22100.0
180000,50000.0,50000.0,50000.0,50000.0
181000,74000.0,501461.0,539235.5333333333,559042.25
182000,29900.0,166264.69999999998,286568.5,312901.19999999995
183000,27300.0,27300.0,27300.0,252283.5
184001,0.0,0.0,0.0,0.0
186001,27300.0,27300.0,27300.0,27300.0
188000,44000.0,44000.0,44000.0,273235.4166666666
189000,32500.0,311287.5,337260.0,357027.5
190000,27300.0,258415.5,280369.6,298924.5
191000,0.0,0.0,0.0,0.0
191001,0.0,0.0,0.0,0.0
192000,0.0,0.0,0.0,0.0
193000,32000.0,32000.0,32000.0,32000.0
194000,58000.0,58000.0,58000.0,58000.0
195000,0.0,0.0,0.0,0.0
196000,0.0,0.0,282723.3,315873.0
200000,42000.0,42000.0,42000.0,42000.0
203000,0.0,0.0,0.0,0.0
204000,0.0,0.0,0.0,0.0
205000,54000.0,54000.0,54000.0,346212.225
207000,0.0,0.0,57945.317500000005,66529.68
207001,0.0,0.0,59871.14,72849.92
207002,0.0,0.0,0.0,49270.41
207003,0.0,0.0,67281.9,76564.58666666667
207004,0.0,0.0,0.0,29141.56
207005,66164.0175,88580.8,94461.25,97088.04999999999
207006,38081.1375,50413.33333333333,55351.850000000006,57217.475000000006
207007,0.0,65833.18000000001,74936.89933333333,77864.05666666667
207008,26522.72,33141.46,33509.61,34643.909999999996
207009,0.0,63047.17999999999,73645.92,84492.74666666667
