bid,0.2,0.05,0.01,0.005,0.002,0.0,ead
1000,0.0,0.0,22916.667,33509.524,39378.571,43291.269,791.401
1001,,0.0,0.0,0.0,0.0,,0.0
1006,,0.0,0.0,0.0,0.0,,0.0
1007,,0.0,0.0,0.0,0.0,,0.0
1008,,0.0,0.0,0.0,0.0,,0.0
1009,,0.0,0.0,0.0,0.0,,0.0
1010,,0.0,0.0,0.0,0.0,,0.0
1011,,0.0,0.0,0.0,0.0,,0.0
1013,,0.0,0.0,0.0,0.0,,0.0
1014,,0.0,0.0,0.0,0.0,,0.0
1015,,0.0,0.0,0.0,0.0,,0.0
1016,0.0,0.0,32840.0,48062.857,56840.0,62691.429,1135.943
1017,,0.0,0.0,0.0,0.0,,0.0
1018,,0.0,0.0,0.0,0.0,,0.0
1019,,0.0,0.0,0.0,0.0,,0.0
1020,0.0,0.0,0.0,5180.0,41060.0,64980.0,188.35
1021,,0.0,0.0,0.0,0.0,,0.0
1022,,0.0,0.0,0.0,0.0,,0.0
1023,,0.0,0.0,0.0,0.0,,0.0
1024,,0.0,0.0,0.0,0.0,,0.0
1025,,0.0,0.0,0.0,0.0,,0.0
1026,,0.0,0.0,0.0,0.0,,0.0
1027,,0.0,0.0,0.0,0.0,,0.0
1028,,0.0,0.0,0.0,0.0,,0.0
1029,0.0,0.0,42500.0,49460.0,56900.0,61860.0,1358.2
1030,,0.0,0.0,0.0,0.0,,0.0
1031,0.0,0.0,23885.714,27862.857,32251.429,35177.144,764.686
1032,0.0,27014.286,36442.857,38500.0,38500.0,38500.0,3675.071
1033,,0.0,0.0,0.0,0.0,,0.0
1034,,0.0,0.0,0.0,0.0,,0.0
1035,,0.0,0.0,0.0,0.0,,0.0
1036,,0.0,0.0,0.0,0.0,,0.0
1037,,0.0,0.0,0.0,0.0,,0.0
1038,,0.0,0.0,0.0,0.0,,0.0
1039,,0.0,0.0,0.0,0.0,,0.0
1040,,0.0,0.0,0.0,0.0,,0.0
2000,0.0,15600.0,15600.0,15600.0,107582.4,168904.0,2333.26
2001,0.0,42900.0,42900.0,42900.0,327542.825,517304.708,6548.512
3000,0.0,48000.0,48000.0,48000.0,166578.0,245630.0,6494.075
6001,,0.0,0.0,0.0,0.0,,0.0
7001,,0.0,0.0,0.0,0.0,,0.0
8000,,0.0,0.0,0.0,0.0,,0.0
10000,0.0,46000.0,46000.0,46000.0,46000.0,46000.0,5750.0
11000,0.0,10400.0,10400.0,10400.0,90054.533,143157.555,1631.894
11001,0.0,10400.0,10400.0,10400.0,95404.467,152074.112,1654.185
11002,0.0,20800.0,20800.0,147115.6,164176.533,175550.488,3618.454
15000,0.0,18200.0,18200.0,18200.0,58442.3,85270.5,2442.676
16000,,0.0,0.0,0.0,0.0,,0.0
18000,0.0,45500.0,388160.0,420663.333,444692.583,460712.083,16311.197
19000,,0.0,0.0,0.0,0.0,,0.0
20000,,0.0,0.0,0.0,0.0,,0.0
21000,0.0,39000.0,366766.75,398970.0,431040.0,452420.0,15083.152
22000,0.0,0.0,11700.0,11700.0,11700.0,11700.0,351.0
22001,,0.0,0.0,0.0,0.0,,0.0
22002,,0.0,0.0,0.0,0.0,,0.0
24000,0.0,16900.0,153026.033,167563.5,182174.2,191914.667,6366.19
24001,0.0,11700.0,47273.4,111478.5,121842.0,128751.0,3054.422
24002,0.0,10400.0,18305.2,98216.0,107507.2,113701.333,2175.2
25000,,0.0,0.0,0.0,0.0,,0.0
28000,0.0,0.0,0.0,0.0,6000.0,10000.0,25.0
28001,0.0,0.0,14000.0,14000.0,14000.0,14000.0,420.0
28002,0.0,0.0,0.0,0.0,10000.0,16666.667,41.667
28003,0.0,0.0,0.0,0.0,10000.0,16666.667,41.667
28004,0.0,0.0,0.0,0.0,12000.0,20000.0,50.0
28005,0.0,18000.0,84759.525,98762.16,110037.102,117553.73,4404.784
28006,0.0,18000.0,97568.16,107019.864,117603.48,124659.224,4752.031
28007,0.0,22000.0,110145.558,123992.807,139231.165,149390.07,5561.714
28008,,0.0,0.0,0.0,0.0,,0.0
28009,,0.0,0.0,0.0,0.0,,0.0
28010,0.0,16000.0,16000.0,16000.0,16000.0,16000.0,2000.0
28011,0.0,8000.0,8000.0,8000.0,8000.0,8000.0,1000.0
28012,0.0,12000.0,12000.0,12000.0,12000.0,12000.0,1500.0
28013,0.0,12000.0,12000.0,12000.0,12000.0,12000.0,1500.0
28014,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,1250.0
28015,0.0,20000.0,20000.0,27363.0,107414.067,160781.445,2888.769
28016,0.0,0.0,14000.0,14000.0,14000.0,14000.0,420.0
28017,0.0,6000.0,6000.0,6000.0,6000.0,6000.0,750.0
28018,0.0,0.0,0.0,0.0,12000.0,20000.0,50.0
28019,0.0,18000.0,18000.0,18000.0,90119.092,138198.487,2550.496
28020,0.0,16000.0,16000.0,79047.18,90441.92,98038.413,2520.332
28021,0.0,0.0,10000.0,10000.0,10000.0,10000.0,300.0
28022,0.0,0.0,20000.0,20000.0,20000.0,20000.0,600.0
28023,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,1250.0
28024,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,1250.0
28025,0.0,16000.0,16000.0,16000.0,16000.0,16000.0,2000.0
28026,0.0,8000.0,8000.0,39523.59,45220.96,49019.207,1260.166
28027,0.0,36000.0,36000.0,36000.0,36000.0,36000.0,4500.0
28028,0.0,0.0,18000.0,18000.0,18000.0,18000.0,540.0
28029,0.0,38000.0,59352.7,247694.833,277896.4,298030.778,6928.987
28030,0.0,22000.0,22000.0,22000.0,22000.0,22000.0,2750.0
28031,0.0,14000.0,70555.8,79136.68,88936.899,95470.378,3551.865
28032,0.0,16000.0,16000.0,75871.14,88849.92,97502.44,2503.112
28033,0.0,16000.0,16000.0,16000.0,16000.0,16000.0,2000.0
28034,0.0,6000.0,6000.0,6000.0,29444.19,45073.65,847.684
28035,0.0,12000.0,12000.0,12000.0,62064.42,95440.7,1708.602
28036,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,1250.0
28037,0.0,20000.0,20000.0,20000.0,20000.0,20000.0,2500.0
28038,0.0,16000.0,76400.48,88319.253,98577.04,105415.565,3944.146
28039,0.0,16000.0,75871.14,88053.92,98193.899,104953.885,3929.755
28040,0.0,22000.0,22000.0,30099.3,118155.473,176859.588,3177.645
28041,0.0,18000.0,18000.0,18000.0,92501.122,142168.537,2560.421
28042,0.0,16000.0,82223.22,91237.92,102791.595,110494.045,4102.447
28043,0.0,14000.0,14000.0,65460.902,77279.347,85158.31,2185.2
28044,0.0,22000.0,22000.0,22000.0,103594.975,157991.625,3089.979
28045,0.0,16000.0,16000.0,16000.0,80635.2,123725.333,2269.313
28046,0.0,12000.0,12000.0,12000.0,14208.9,15681.5,1509.204
28047,0.0,18000.0,88332.57,100553.16,112623.306,120670.07,4501.924
28048,0.0,30000.0,30000.0,30000.0,30000.0,30000.0,3750.0
28049,0.0,22000.0,22000.0,54397.2,120344.473,164309.322,3267.759
28050,0.0,18000.0,91310.108,102045.66,114778.476,123267.02,4582.873
28051,0.0,16000.0,16000.0,16000.0,76400.48,116667.467,2251.669
28052,0.0,38000.0,38000.0,38000.0,38000.0,38000.0,4750.0
28053,0.0,16000.0,16000.0,74812.46,88319.253,97323.782,2497.372
28054,0.0,0.0,0.0,12000.0,12000.0,12000.0,90.0
28055,0.0,0.0,0.0,0.0,10000.0,16666.667,41.667
28056,0.0,16000.0,16000.0,79576.52,90707.253,98127.742,2523.202
30000,0.0,0.0,52550.833,57360.0,61373.167,64048.612,1629.315
30001,0.0,0.0,83106.333,93467.6,101530.417,106905.628,2604.495
30002,0.0,0.0,73118.667,79645.867,81980.8,83537.422,2252.243
31000,0.0,0.0,44337.143,52291.429,58600.0,62805.714,1416.057
42000,,0.0,0.0,0.0,0.0,,0.0
