bid,use1_gf,use2_gf,steps_lb,steps_ub,f0_tag,f0_cap,f0_elv,f0_scale,f1_tag,f1_cap,f1_elv,f1_scale,f2_tag,f2_cap,f2_elv,f2_scale,f5_tag,f5_cap,f5_elv,f5_scale
311000,resi,sfd,0.9,2.9,IBI2020_mf_struc_resi-sfd-std,333000.0,0.3,350.0,IBI2017_mf_cont_resi,1000000.0,0.3,350.0,IBI2020_cel_struc_crwl,166000.0,-2.4,350.0,IBI2020_gen_struc_resi-sfd-std,166000.0,0.3,350.0
308000,resi,sfd,1.0,3.1,IBI2020_mf_struc_resi-sfd-std,261000.0,0.3,160.0,IBI2017_mf_cont_resi,1000000.0,0.3,160.0,IBI2020_cel_struc_bsmt,130000.0,-2.4,160.0,IBI2020_gen_struc_resi-sfd-std,130000.0,0.3,160.0
309000,resi,sfd,-1.0,1.0,IBI2020_mf_struc_resi-sfd-std,58000.0,0.0,100.0,IBI2017_mf_cont_resi,1000000.0,0.0,100.0,IBI2020_cel_struc_bsmt,29000.0,-2.7,100.0,IBI2020_gen_struc_resi-sfd-std,29000.0,0.0,100.0
303000,resi,sfd,1.0,3.1,IBI2020_mf_struc_resi-sfd-std,166000.0,0.3,90.0,IBI2017_mf_cont_resi,1000000.0,0.3,90.0,IBI2020_cel_struc_bsmt,83000.0,-2.4,90.0,IBI2020_gen_struc_resi-sfd-std,83000.0,0.3,90.0
305000,resi,sfd,0.9,3.0,IBI2020_mf_struc_resi-sfd-hi,687000.0,0.3,300.0,IBI2017_mf_cont_resi,1000000.0,0.3,300.0,IBI2020_cel_struc_bsmt,344000.0,-2.4,300.0,IBI2020_gen_struc_resi-sfd-hi,344000.0,0.3,300.0
297000,resi,sfd,3.0,6.0,IBI2020_mf_struc_resi-sfd-std,152000.0,0.7,150.0,IBI2017_mf_cont_resi,1000000.0,0.7,150.0,IBI2020_cel_struc_crwl,76000.0,-2.0,150.0,IBI2020_gen_struc_resi-sfd-std,76000.0,0.7,150.0
298000,resi,sfd,0.9,3.0,IBI2020_mf_struc_resi-sfd-std,382000.0,0.3,240.0,IBI2017_mf_cont_resi,1000000.0,0.3,240.0,IBI2020_cel_struc_bsmt,191000.0,-2.4,240.0,IBI2020_gen_struc_resi-sfd-std,191000.0,0.3,240.0
295000,resi,sfd,0.9,3.0,IBI2020_mf_struc_resi-sfd-std,356000.0,0.3,250.0,IBI2017_mf_cont_resi,1000000.0,0.3,250.0,IBI2020_cel_struc_bsmt,178000.0,-2.4,250.0,IBI2020_gen_struc_resi-sfd-std,178000.0,0.3,250.0
296000,nrp,retail,-3.0,-1.0,IBI2020_mf_struc_nrp-retail-s1,677000.0,-0.3,570.0,okNRP_mf_cont_nrp-retail,1000000.0,-0.3,570.0,IBI2020_cel_struc_bsmt,338000.0,-3.0,570.0,IBI2020_gen_struc_nrp-retail-5,338000.0,-0.3,570.0
319000,resi,sfd,1.0,3.0,IBI2020_mf_struc_resi-sfd-std,94000.0,0.3,230.0,IBI2017_mf_cont_resi,1000000.0,0.3,230.0,IBI2020_cel_struc_bsmt,47000.0,-2.4,230.0,IBI2020_gen_struc_resi-sfd-std,47000.0,0.3,230.0
