xid,wse_sB_0020_1218,wse_sB_0100_1218,wse_sB_0200_1218,wse_sB_0500_1218
1,0.0,0.0,0.0,0.0
3,0.0,0.0222,0.0781,0.1699
20,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0
32,0.0,0.0,0.0,0.0
36,0.0,0.0,0.0,0.0
42,0.0,0.0426,0.1502,0.3573
44,0.0,0.0,0.0,0.0
48,0.0,0.0,0.0,0.0
49,0.0,0.0,0.0,0.0
61,0.0,0.0,0.0,0.0
64,0.0,0.0,0.0,0.0
66,0.0,0.0,0.0,0.0
68,0.0,0.0026,0.0098,0.0342
70,0.0,0.0,0.0,0.0
71,0.0,0.0,0.0,0.0
89,0.0,0.0,0.0,0.0
104,0.0,0.0,0.0,0.0
105,0.0,0.0,0.0,0.0
116,0.0,0.0002,0.0003,0.0005
117,0.0,0.0,0.0,0.0
128,0.0,0.0,0.0,0.0
132,0.0,0.0,0.0,0.0
142,0.0,0.0,0.0,0.0
143,0.0,0.0,0.0,0.0
192,0.0,0.0,0.0,0.0
193,0.0,0.0,0.0,0.0
194,0.0,0.0,0.0,0.0
195,0.0,0.0,0.0,0.0
196,0.0,0.0,0.0,0.0
198,0.0,0.0,0.0,0.0
199,0.0,0.0,0.0,0.0
200,0.0,0.0,0.0,0.0
201,0.0,0.0,0.0,0.0
202,0.0,0.0,0.0,0.0
204,0.0,0.0,0.0,0.0
205,0.0,0.0,0.0,0.0
207,0.0005,0.0012,0.0013,0.0073
208,0.0066,0.0237,0.0355,0.0592
209,0.0,0.0,0.0,0.0
211,0.0,0.0,0.0,0.0
212,0.0,0.0,0.0026,0.2439
226,0.0,0.0,0.0,0.0051
227,0.0,0.0,0.0,0.0
230,0.0,0.0,0.0,0.0
231,0.0,0.0,0.0,0.0
232,0.0,0.0,0.0,0.0
273,0.0,0.0,0.0,0.0
277,0.0,0.0009,0.0019,0.0028
279,0.0001,0.2451,0.375,0.5961
280,0.0007,0.7254,0.8494,0.9821
281,0.0,0.0,0.0,0.0
283,0.0,0.0,0.0,0.0
310,0.0,0.0,0.0,0.0
311,0.0,0.0,0.0,0.0
312,0.0,0.0,0.0,0.0
313,0.0,0.0,0.0,0.0
318,0.0,0.0,0.0,0.0
320,0.0,0.0,0.0,0.0062
321,0.0,0.0,0.0,0.0
322,0.0,0.0,0.0,0.0
323,0.0,0.0,0.0,0.0
324,0.0,0.0,0.0,0.0
328,0.0,0.0,0.0,0.0
329,0.1044,0.1269,0.1326,0.1467
332,0.0,0.0,0.0,0.0
334,0.0,0.0,0.0,0.0
335,0.0,0.0,0.0,0.0
336,0.0,0.0,0.0,0.0
339,0.0,0.0,0.0,0.0
342,0.3301,0.4825,0.5809,0.6126
343,0.0,0.1329,0.2644,0.3383
345,0.0,0.0,0.0,0.0
346,0.0,0.0,0.0,0.0
348,0.0,0.0,0.0,0.0
349,0.0089,0.044,0.1184,0.2419
350,0.1639,0.3003,0.4802,0.6702
354,0.9632,0.9956,1.0,1.0
356,0.0,0.0088,0.0351,0.1704
358,0.016,0.0171,0.0202,0.0244
359,0.0,0.0,0.0,0.0
360,0.001,0.0012,0.0,0.0031
361,0.0,0.0,0.0,0.0
363,1.0,1.0,1.0,1.0
364,0.4868,0.7299,0.8506,0.9269
365,0.0,0.0,0.0,0.0
367,0.7994,0.8886,0.9596,0.9718
369,0.0,0.0,0.0,0.0
370,0.0,0.0,0.0,0.0
371,0.0,0.0,0.0,0.0
372,0.0,0.0,0.0,0.0
374,0.619,0.7915,0.8928,0.9078
375,0.0,0.0,0.0,0.0
376,0.0,0.0358,0.1265,0.1788
378,0.0006,0.0077,0.0,0.0153
379,0.486,0.7646,0.882,0.9576
380,0.0,0.0,0.0,0.0
383,0.059,0.0993,0.3119,0.54
384,0.0,0.0,0.0,0.0
388,0.0,0.0,0.0,0.0
390,0.0846,0.1412,0.1954,0.2864
