xid,BC_LOTLNK,main_COVDESC,group_COVTYPDESC,detail1_COVTYPDESC,detail2_COVTYPDESC,f0_elv,Area_m2,f0_scale,crop_values_m2
1,KEL14_96,Anthropogenic - Vegetated - Cultivated,Vines & berries,Grapes,,0.0,28120.65176489591,44149.4,1.57
3,KEL14_614,Anthropogenic - Vegetated - Cultivated,"Forage, pasture",Mixed grass / legume,,0.0,52815.77622578659,6337.9,0.12
20,KEL14_4422,Anthropogenic - Vegetated - Cultivated,"Forage, pasture",Grass,,0.0,84693.2410963752,10163.2,0.12
22,KEL14_686,Anthropogenic - Vegetated - Cultivated,"Forage, pasture",Grass,,0.0,58107.611207556496,6972.9,0.12
26,KEL14_4420,Anthropogenic - Vegetated - Cultivated,"Forage, pasture",Grass,,0.0,37090.661211734376,4450.9,0.12
29,KEL14_748,Anthropogenic - Vegetated - Cultivated,"Forage, pasture",Mixed grass / legume,,0.0,32597.577769454812,3911.7,0.12
32,KEL14_4418,Anthropogenic - Vegetated - Cultivated,"Forage, pasture",Grass,,0.0,248644.32148235734,29837.3,0.12
36,KEL14_197,Anthropogenic - Vegetated - Cultivated,Tree fruits,Apples,,0.0,11090.788708091508,17523.4,1.58
42,KEL14_672,Anthropogenic - Vegetated - Cultivated,"Forage, pasture",Mixed grass / legume,,0.0,119649.59848636674,14358.0,0.12
44,KEL14_202,Anthropogenic - Vegetated - Cultivated,"Forage, pasture",Grass,,0.0,18425.207724196618,2211.0,0.12
48,KEL14_761,Anthropogenic - Vegetated - Cultivated,"Forage, pasture",Mixed grass / legume,,0.0,48610.83976437777,5833.3,0.12
49,KEL14_664,Anthropogenic - Vegetated - Cultivated,"Forage, pasture",Grass,,0.0,28475.24519390398,3417.0,0.12
61,KEL14_749,Anthropogenic - Vegetated - Cultivated,"Forage, pasture",Mixed grass / legume,,0.0,29943.56425270257,3593.2,0.12
64,KEL14_775,Anthropogenic - Vegetated - Cultivated,"Forage, pasture",Mixed grass / legume,,0.0,16615.651037689917,1993.9,0.12
66,KEL14_728,Anthropogenic - Vegetated - Cultivated,"Forage, pasture",Mixed grass / legume,,0.0,8536.872379295815,1024.4,0.12
