xid,0.2,0.05,0.01,0.005,0.002,0.0,ead
1,,0.0,0.0,0.0,0.0,,0.0
3,0.0,0.0,140.70138,494.98999,1076.80921,1464.68869,9.30245
20,,0.0,0.0,0.0,0.0,,0.0
22,,0.0,0.0,0.0,0.0,,0.0
26,,0.0,0.0,0.0,0.0,,0.0
29,,0.0,0.0,0.0,0.0,,0.0
32,,0.0,0.0,0.0,0.0,,0.0
36,,0.0,0.0,0.0,0.0,,0.0
42,0.0,0.0,611.6508,2156.5716,5130.1134,7112.4746,42.32619
44,,0.0,0.0,0.0,0.0,,0.0
48,,0.0,0.0,0.0,0.0,,0.0
49,,0.0,0.0,0.0,0.0,,0.0
61,,0.0,0.0,0.0,0.0,,0.0
64,,0.0,0.0,0.0,0.0,,0.0
66,,0.0,0.0,0.0,0.0,,0.0
68,0.0,0.0,29.43642,110.95266,387.20214,571.36846,2.6455
70,,0.0,0.0,0.0,0.0,,0.0
71,,0.0,0.0,0.0,0.0,,0.0
89,,0.0,0.0,0.0,0.0,,0.0
104,,0.0,0.0,0.0,0.0,,0.0
105,,0.0,0.0,0.0,0.0,,0.0
116,0.0,0.0,20.0399,30.05985,50.09975,63.45968,0.75985
117,,0.0,0.0,0.0,0.0,,0.0
128,,0.0,0.0,0.0,0.0,,0.0
132,,0.0,0.0,0.0,0.0,,0.0
142,,0.0,0.0,0.0,0.0,,0.0
143,,0.0,0.0,0.0,0.0,,0.0
192,,0.0,0.0,0.0,0.0,,0.0
193,,0.0,0.0,0.0,0.0,,0.0
194,,0.0,0.0,0.0,0.0,,0.0
195,,0.0,0.0,0.0,0.0,,0.0
196,,0.0,0.0,0.0,0.0,,0.0
198,,0.0,0.0,0.0,0.0,,0.0
199,,0.0,0.0,0.0,0.0,,0.0
200,,0.0,0.0,0.0,0.0,,0.0
201,,0.0,0.0,0.0,0.0,,0.0
202,,0.0,0.0,0.0,0.0,,0.0
204,,0.0,0.0,0.0,0.0,,0.0
205,,0.0,0.0,0.0,0.0,,0.0
207,0.0,0.4121,0.98904,1.07146,6.01666,9.31346,0.09004
208,0.0,3.3462,12.0159,17.9985,30.0144,38.025,0.7733
209,,0.0,0.0,0.0,0.0,,0.0
211,,0.0,0.0,0.0,0.0,,0.0
212,0.0,0.0,0.0,5.08586,477.09279,791.76408,2.00484
226,0.0,0.0,0.0,0.0,5.98536,9.9756,0.02494
227,,0.0,0.0,0.0,0.0,,0.0
230,,0.0,0.0,0.0,0.0,,0.0
231,,0.0,0.0,0.0,0.0,,0.0
232,,0.0,0.0,0.0,0.0,,0.0
273,,0.0,0.0,0.0,0.0,,0.0
277,0.0,0.0,2.87541,6.07031,8.94572,10.86266,0.1222
279,0.0,0.54954,1346.92254,2060.775,3275.80794,4085.8299,50.87641
280,0.0,1.21884,1263.06648,1478.97528,1710.03252,1864.07068,40.58984
281,,0.0,0.0,0.0,0.0,,0.0
283,,0.0,0.0,0.0,0.0,,0.0
310,,0.0,0.0,0.0,0.0,,0.0
311,,0.0,0.0,0.0,0.0,,0.0
312,,0.0,0.0,0.0,0.0,,0.0
313,,0.0,0.0,0.0,0.0,,0.0
318,,0.0,0.0,0.0,0.0,,0.0
320,0.0,0.0,0.0,0.0,358.26762,597.1127,1.49278
321,,0.0,0.0,0.0,0.0,,0.0
322,,0.0,0.0,0.0,0.0,,0.0
323,,0.0,0.0,0.0,0.0,,0.0
324,,0.0,0.0,0.0,0.0,,0.0
328,,0.0,0.0,0.0,0.0,,0.0
