xid,f0_elv,f0_scale,leisure,source,name,IBI_Repair_m2,Type,USEDECS,IBI_Type,leisure_2,sport
1,0.0,18725.0,,ALUI,,13,,"Parks, zoos, fields, gardens",Typical Park,,
2,0.0,33517.0,,ALUI,,13,,"Parks, zoos, fields, gardens",Typical Park,,
3,0.0,4165.0,,OSM,,8,,,Sport Facility,pitch,baseball
4,0.0,8826498.0,,ALUI,,12,,"Parks, zoos, fields, gardens",Path or Naturalized,,
5,0.0,23205.0,,OSM,,8,,,Sport Facility,pitch,soccer
6,0.0,11724.0,,OSM,,8,,,Sport Facility,pitch,soccer
7,0.0,20331.0,,OSM,,8,,,Sport Facility,pitch,tennis
8,0.0,11348.0,,ALUI,,13,,"Parks, zoos, fields, gardens",Typical Park,,
9,0.0,123535.0,,LocRegParks,,13,Park,,Typical Park,,
10,0.0,26699.0,,LocRegParks,,13,Park,,Typical Park,,
11,0.0,106312.0,,LocRegParks,,13,Park,,Typical Park,,
12,0.0,200535.0,,LocRegParks,,13,Park,,Typical Park,,
13,0.0,263071.0,,LocRegParks,,13,Park,,Typical Park,,
14,0.0,174610.0,,LocRegParks,,13,Park,,Typical Park,,
15,0.0,60637.0,,LocRegParks,,13,Park,,Typical Park,,
16,0.0,71949.0,,LocRegParks,,13,Park,,Typical Park,,
17,0.0,457852.0,,ALUI,,13,,"Parks, zoos, fields, gardens",Typical Park,,
18,0.0,22312.0,,ALUI,,13,,"Parks, zoos, fields, gardens",Typical Park,,
19,0.0,984692.0,,ALUI,,30,,"Parks, zoos, fields, gardens",Formal Park,,
20,0.0,102993.0,,ALUI,,13,,"Parks, zoos, fields, gardens",Typical Park,,
21,0.0,132742.0,,ALUI,,13,,"Parks, zoos, fields, gardens",Typical Park,,
22,0.0,9907.0,,ALUI,,13,,"Parks, zoos, fields, gardens",Typical Park,,
23,0.0,3386043.0,,ALUI,,30,,"Parks, zoos, fields, gardens",Formal Park,,
24,0.0,29205.0,,ALUI,,13,,"Parks, zoos, fields, gardens",Typical Park,,
25,0.0,8765.0,park,OSM,,13,,,Typical Park,,
26,0.0,1174566.0,park,OSM,Skaha Lake Middle School Field,30,,,Formal Park,,
27,0.0,20750.0,park,OSM,Manhattan Point,13,,,Typical Park,,
28,0.0,383150.0,park,OSM,Princess Margaret Secondary School Field,13,,,Typical Park,,
29,0.0,48336.0,park,OSM,Jack Brow Park,13,,,Typical Park,,
30,0.0,12470.0,park,OSM,Manhattan Drive Beach Access,13,,,Typical Park,,
31,0.0,36758.0,park,OSM,,13,,,Typical Park,,
32,0.0,15487.0,park,OSM,Jennens Park,13,,,Typical Park,,
33,0.0,41070.0,park,OSM,Aberdeen Park,13,,,Typical Park,,
34,0.0,10825.0,park,OSM,Falcon Park,13,,,Typical Park,,
35,0.0,12530.0,park,OSM,Sternwheeler Park,13,,,Typical Park,,
36,0.0,118226.0,park,OSM,Marjorie Pritchard Memorial Park,13,,,Typical Park,,
37,0.0,392574.0,park,OSM,,30,,,Formal Park,,
38,0.0,4753.0,park,OSM,,30,,,Formal Park,,
39,0.0,29452.0,park,OSM,Ellis Park,13,,,Typical Park,,
40,0.0,9466.0,park,OSM,,13,,,Typical Park,,
41,0.0,231721.0,park,OSM,,13,,,Typical Park,,
42,0.0,386235.0,park,OSM,,13,,,Typical Park,,
43,0.0,194071.0,park,OSM,,30,,,Formal Park,,
44,0.0,267753.0,park,OSM,,30,,,Formal Park,,
45,0.0,1084521.0,park,OSM,Riverside Park,30,,,Formal Park,,
46,0.0,74229.0,park,OSM,SS Sicamous Heritage Shipyard Area,13,,,Typical Park,,
47,0.0,22005.0,park,OSM,Pioneer Park,13,,,Typical Park,,
48,0.0,602226.0,park,OSM,Kaloya Regional Park,13,,,Typical Park,,
49,0.0,201314.0,park,OSM,Rotary Park,13,,,Typical Park,,
50,0.0,10010.0,park,OSM,,13,,,Typical Park,,
51,0.0,89547.0,park,OSM,Gyro Park,13,,,Typical Park,,
52,0.0,2174798.0,park,OSM,Bertram Creek Regional Park,13,,,Typical Park,,
53,0.0,43369.0,park,OSM,Gyro Park,13,,,Typical Park,,
54,0.0,18477.0,park,OSM,Veterans Park,13,,,Typical Park,,
55,0.0,96773.0,park,OSM,Recreation Avenue Park,8,,,Sport Facility,pitch,baseball
56,0.0,50629.0,park,OSM,,8,,,Sport Facility,pitch,baseball
57,0.0,8749.0,park,OSM,City Park,8,,,Sport Facility,pitch,beachvolleyball
58,0.0,4604.0,park,OSM,City Park,8,,,Sport Facility,pitch,skateboard
59,0.0,10804.0,park,OSM,City Park,8,,,Sport Facility,pitch,bowls
60,0.0,48791.0,park,OSM,Recreation Avenue Park,8,,,Sport Facility,pitch,baseball
61,0.0,2334.0,park,OSM,Strathcona Beach Park,8,,,Sport Facility,playground,
62,0.0,21736.0,park,OSM,Recreation Avenue Park,8,,,Sport Facility,pitch,baseball
63,0.0,17475.0,park,OSM,Recreation Avenue Park,8,,,Sport Facility,pitch,baseball
64,0.0,3693.0,park,OSM,Skaha Lake Middle School Field,8,,,Sport Facility,pitch,basketball
65,0.0,6893.0,park,OSM,Skaha Lake Middle School Field,8,,,Sport Facility,pitch,tennis
66,0.0,33638.0,park,OSM,,8,,,Sport Facility,pitch,baseball
67,0.0,2192.0,park,OSM,,8,,,Sport Facility,playground,
