xid,0.2,0.05,0.01,0.005,0.002,0.0,ead
1,,0.0,0.0,0.0,0.0,,0.0
2,,0.0,0.0,0.0,0.0,,0.0
3,,0.0,0.0,0.0,0.0,,0.0
4,,0.0,0.0,0.0,0.0,,0.0
5,,0.0,0.0,0.0,0.0,,0.0
6,,0.0,0.0,0.0,0.0,,0.0
7,,0.0,0.0,0.0,0.0,,0.0
8,0.0,974.7932,1625.0336,2275.274,5199.6536,7149.24,158.41808
9,,0.0,0.0,0.0,0.0,,0.0
10,0.0,2274.7548,9747.8049,13648.5288,20147.0654,24479.42313,564.86852
11,0.0,41929.4528,48754.6832,54920.7792,99773.812,129675.83387,5679.07187
12,0.0,1283.424,20153.7675,26009.3895,34451.913,40080.262,805.63265
13,0.0,657.6775,3262.0804,4551.1283,5840.1762,6699.54147,175.38067
14,0.0,9428.94,32826.68,40631.747,54600.547,63913.08033,1997.29104
15,0.0,13649.3887,13976.8285,15601.9001,15923.2762,16137.52693,1729.52389
16,0.0,647.541,10072.86,27297.4506,35427.6876,40847.8456,526.76261
17,0.0,0.0,0.0,640.9928,27608.4756,45586.79747,117.17196
18,0.0,0.0,0.0,0.0,1950.0688,3250.11467,8.12529
19,,0.0,0.0,0.0,0.0,,0.0
20,,0.0,0.0,0.0,0.0,,0.0
21,,0.0,0.0,0.0,0.0,,0.0
22,,0.0,0.0,0.0,0.0,,0.0
23,0.0,0.0,0.0,0.0,9819.5247,16365.8745,40.91469
24,,0.0,0.0,0.0,0.0,,0.0
25,,0.0,0.0,0.0,0.0,,0.0
26,,0.0,0.0,0.0,0.0,,0.0
27,,0.0,0.0,0.0,0.0,,0.0
28,,0.0,0.0,0.0,0.0,,0.0
29,0.0,0.0,0.0,0.0,13326.2352,22210.392,55.52598
30,0.0,507.529,1950.308,1950.308,2925.462,3575.56467,110.78764
31,,0.0,0.0,0.0,0.0,,0.0
32,0.0,0.0,326.7757,650.454,5524.2129,8773.3855,32.53819
33,0.0,1301.919,2599.731,3248.637,4875.009,5959.257,213.31758
34,0.0,1300.0825,1949.5825,5525.08,10825.0,14358.28,230.89454
35,0.0,2275.448,2924.502,3250.282,3899.336,4332.03867,309.05036
36,0.0,20145.7104,27629.4162,34770.2666,94900.0102,134986.50593,3046.82195
37,,0.0,0.0,0.0,0.0,,0.0
38,,0.0,0.0,0.0,0.0,,0.0
39,,0.0,0.0,0.0,0.0,,0.0
40,0.0,35.0242,136.3104,370.1206,650.3142,837.10993,10.33766
41,0.0,0.0,162.2047,625.6467,10728.6823,17464.03937,50.43794
42,,0.0,0.0,0.0,0.0,,0.0
43,,0.0,0.0,0.0,0.0,,0.0
44,0.0,1419.0909,3748.542,3748.542,16493.5848,24990.28,300.37424
45,0.0,209963.2656,294772.8078,407996.8002,462765.1107,499277.3177,29867.0757
46,0.0,2271.4074,7148.2527,9427.083,31198.4487,45712.6925,538.03654
47,0.0,0.0,72.6165,1626.1695,9424.7415,14623.7895,46.32419
48,0.0,37398.2346,74736.2466,80276.7258,98463.951,110588.7678,5912.25338
49,0.0,644.2048,2274.8482,4227.594,8133.0856,10736.74667,160.36338
50,,0.0,0.0,0.0,0.0,,0.0
51,,0.0,0.0,0.0,0.0,,0.0
