xid,0.2,0.05,0.01,0.005,0.002,0.0,ead
1,,0.0,0.0,0.0,0.0,,0.0
2,,0.0,0.0,0.0,0.0,,0.0
3,,0.0,0.0,0.0,0.0,,0.0
4,,0.0,0.0,0.0,0.0,,0.0
5,,0.0,0.0,0.0,0.0,,0.0
6,,0.0,0.0,0.0,0.0,,0.0
7,,0.0,0.0,0.0,0.0,,0.0
8,0.0,974.7932,1625.0336,2275.274,5199.6536,7149.24,158.41808
9,,0.0,0.0,0.0,0.0,,0.0
10,0.0,13648.5288,20798.521,23396.3337,25996.8163,27730.47137,1950.88481
11,0.0,41929.4528,48754.6832,54920.7792,99773.812,129675.83387,5679.07187
12,0.0,17546.8125,55588.302,67941.258,83222.025,93409.203,3490.91328
13,0.0,3262.0804,6813.5389,6813.5389,7471.2164,7909.66807,517.04413
14,0.0,9428.94,32826.68,40631.747,54600.547,63913.08033,1997.29104
15,0.0,13649.3887,13976.8285,15601.9001,15923.2762,16137.52693,1729.52389
16,0.0,647.541,10072.86,27297.4506,35427.6876,40847.8456,526.76261
17,0.0,640.9928,31500.2176,63366.7168,109518.1984,140285.8528,1437.19743
18,0.0,0.0,1950.0688,3250.8584,7148.7648,9747.36907,84.49926
19,,0.0,0.0,0.0,0.0,,0.0
20,,0.0,0.0,0.0,0.0,,0.0
21,,0.0,0.0,0.0,0.0,,0.0
22,,0.0,0.0,0.0,0.0,,0.0
23,0.0,0.0,10496.7333,21670.6752,52483.6665,73025.6607,527.09403
24,,0.0,0.0,0.0,0.0,,0.0
25,,0.0,0.0,0.0,0.0,,0.0
26,,0.0,0.0,0.0,0.0,,0.0
27,0.0,0.0,0.0,0.0,514.6,857.66667,2.14417
28,,0.0,0.0,0.0,0.0,,0.0
29,0.0,0.0,15274.176,26976.3216,39002.3184,47019.6496,596.09969
30,0.0,1950.308,2925.462,4874.523,6824.831,8125.03633,295.78736
31,,0.0,0.0,0.0,0.0,,0.0
32,0.0,650.454,5849.4399,6825.1209,7148.7992,7364.58473,245.94259
33,0.0,3248.637,4875.009,7799.193,13323.108,17005.718,499.81848
34,0.0,5525.08,10825.0,10825.0,10825.0,10825.0,849.6326
35,0.0,3250.282,3899.336,4874.17,7799.925,9750.42833,445.25877
36,0.0,35420.5096,100090.1316,116665.4168,118226.0,119266.3888,6498.46943
37,,0.0,0.0,0.0,0.0,,0.0
38,,0.0,0.0,0.0,0.0,,0.0
39,,0.0,0.0,0.0,0.0,,0.0
40,0.0,35.0242,136.3104,370.1206,650.3142,837.10993,10.33766
41,0.0,625.6467,12675.1387,32186.0469,71833.51,98265.15207,751.22017
42,,0.0,0.0,0.0,0.0,,0.0
43,,0.0,0.0,0.0,0.0,,0.0
44,0.0,3748.542,17243.2932,20991.8352,27739.2108,32237.4612,929.63842
45,0.0,209963.2656,294772.8078,407996.8002,462765.1107,499277.3177,29867.0757
46,0.0,9427.083,34768.8636,55248.6447,64994.9124,71492.4242,2132.8466
47,0.0,2.2005,13975.3755,15601.545,15927.219,16144.335,433.02356
48,0.0,73110.2364,124480.1142,134236.1754,149833.8288,160232.2644,10818.03657
49,0.0,4549.6964,9743.5976,26331.8712,56227.0002,76157.0862,973.50418
50,,0.0,0.0,0.0,0.0,,0.0
