nestID,bidx,bid,felv,fscale,gels,wse_sA_0020_1218_dep,wse_sA_0100_1218_dep,wse_sA_0200_1218_dep,wse_sA_0500_1218_dep
f0,0,218000,282.12,1.0,282.02,-2.6,-2.05,-1.76,-1.44
f0,1,721000,296.23,1.0,296.13,-16.71,-16.16,-15.87,-15.55
f0,2,744000,297.12,1.0,297.02,-17.6,-17.05,-16.76,-16.44
f0,3,1228034,340.86,1.0,340.76,-1.49,-1.14,-0.88,-0.84
f0,4,1587000,354.17,1.0,354.07,-14.8,-14.45,-14.19,-14.15
f0,5,1700000,345.32000000000005,1.0,345.22,-5.95,-5.6,-5.34,-5.3
f0,6,1700001,344.97,1.0,344.87,-5.6,-5.25,-4.99,-4.95
f0,7,1700002,346.07000000000005,1.0,345.97,-6.7,-6.35,-6.09,-6.05
f0,8,1701000,345.63,1.0,345.53,-6.26,-5.91,-5.65,-5.61
f0,9,1701001,345.18,1.0,345.08,-5.81,-5.46,-5.2,-5.16
f0,10,1701002,348.40000000000003,1.0,348.3,-9.03,-8.68,-8.42,-8.38
f0,11,1701003,346.94,1.0,346.84,-7.57,-7.22,-6.96,-6.92
f0,12,1701004,345.70000000000005,1.0,345.6,-6.33,-5.98,-5.72,-5.68
f0,13,1750003,344.78000000000003,1.0,344.68,-5.41,-5.06,-4.8,-4.76
f0,14,2504000,349.54,1.0,349.44,-10.17,-9.82,-9.56,-9.52
f0,15,2505000,349.16,1.0,349.06,-9.79,-9.44,-9.18,-9.14
f0,16,2546000,346.12,1.0,346.02,-6.75,-6.4,-6.14,-6.1
f0,17,2646001,346.16,1.0,346.06,-6.79,-6.44,-6.18,-6.14
f0,18,3364000,346.04,1.0,345.94,-6.67,-6.32,-6.06,-6.02
f0,19,4839000,344.45000000000005,1.0,344.35,-1.56,-1.09,-0.97,-0.61
f0,20,4840000,344.53000000000003,1.0,344.43,-1.64,-1.17,-1.05,-0.69
f0,21,4843000,344.55,1.0,344.45,-1.66,-1.19,-1.07,-0.71
f0,22,5071000,344.99,1.0,344.89,-2.1,-1.63,-1.51,-1.15
f0,23,5072000,344.83000000000004,1.0,344.73,-1.94,-1.47,-1.35,-0.99
f0,24,5078001,345.16,1.0,345.06,-2.27,-1.8,-1.68,-1.32
f0,25,5083000,345.29,1.0,345.19,-2.4,-1.93,-1.81,-1.45
f0,26,5085000,345.17,1.0,345.07,-2.28,-1.81,-1.69,-1.33
f0,27,5086000,345.14000000000004,1.0,345.04,-2.25,-1.78,-1.66,-1.3
f0,28,5087000,345.23,1.0,345.13,-2.34,-1.87,-1.75,-1.39
f0,29,5102000,344.84000000000003,1.0,344.74,-1.95,-1.48,-1.36,-1.0
f0,30,5102001,344.76000000000005,1.0,344.66,-1.87,-1.4,-1.28,-0.92
f0,31,5102002,344.79,1.0,344.69,-1.9,-1.43,-1.31,-0.95
f0,32,5102003,344.56,1.0,344.46,-1.67,-1.2,-1.08,-0.72
f0,33,5110000,345.23,1.0,345.13,-2.34,-1.87,-1.75,-1.39
f0,34,5127000,345.27000000000004,1.0,345.17,-2.38,-1.91,-1.79,-1.43
f0,35,5128000,345.35,1.0,345.25,-2.46,-1.99,-1.87,-1.51
f0,36,5157007,343.39000000000004,1.0,343.29,-0.5,-0.03,0.09,0.45
f0,37,5179000,345.45000000000005,1.0,345.35,-2.56,-2.09,-1.97,-1.61
f0,38,5180000,345.39000000000004,1.0,345.29,-2.5,-2.03,-1.91,-1.55
f0,39,5186000,344.59000000000003,1.0,344.49,-1.7,-1.23,-1.11,-0.75
f0,40,5197000,345.23,1.0,345.13,-2.34,-1.87,-1.75,-1.39
f0,41,6525000,344.89000000000004,1.0,344.79,-2.0,-1.53,-1.41,-1.05
f0,42,8618000,280.70000000000005,1.0,280.6,-1.18,-0.63,-0.34,-0.02
f0,43,8618001,280.36,1.0,280.26,-0.84,-0.29,0.0,0.32
f0,44,9700000,304.07000000000005,1.0,303.97,-24.55,-24.0,-23.71,-23.39
f0,45,9700001,301.73,1.0,301.63,-22.21,-21.66,-21.37,-21.05
f0,46,9862000,292.54,1.0,292.44,-13.02,-12.47,-12.18,-11.86
f0,47,9862001,292.17,1.0,292.07,-12.65,-12.1,-11.81,-11.49
f0,48,9862002,292.14000000000004,1.0,292.04,-12.62,-12.07,-11.78,-11.46
f0,49,10065000,295.46000000000004,1.0,295.36,-15.94,-15.39,0.003,0.103
f0,50,10227000,295.71000000000004,1.0,295.61,-16.19,-15.64,0.028,0.132
f0,51,10241000,295.96000000000004,1.0,295.86,-16.44,-15.89,-15.6,-15.28
f0,52,10258000,297.3,1.0,297.2,-17.78,-17.23,-16.94,-16.62
f0,53,10277000,296.21000000000004,1.0,296.11,-16.69,-16.14,-0.109,0.001
f0,54,10277001,295.90000000000003,1.0,295.8,-16.38,0.025,0.195,0.305
f0,55,10277002,295.83000000000004,1.0,295.73,-16.31,0.094,0.264,0.374
f0,56,12463005,343.93,1.0,343.83,-4.56,-4.21,-3.95,-3.91
f0,57,12665000,344.53000000000003,1.0,344.43,-5.16,-4.81,-4.55,-4.51
f0,58,12744000,347.43,1.0,347.33,-8.06,-7.71,-7.45,-7.41
f0,59,12744001,347.75,1.0,347.65,-8.38,-8.03,-7.77,-7.73
f0,60,12744002,348.19,1.0,348.09,-8.82,-8.47,-8.21,-8.17
f0,61,12773000,344.78000000000003,1.0,344.68,-5.41,-5.06,-4.8,-4.76
f0,62,12773001,346.18,1.0,346.08,-6.81,-6.46,-6.2,-6.16
f0,63,12773002,345.45000000000005,1.0,345.35,-6.08,-5.73,-5.47,-5.43
f0,64,12773003,346.16,1.0,346.06,-6.79,-6.44,-6.18,-6.14
f0,65,12773004,345.44,1.0,345.34,-6.07,-5.72,-5.46,-5.42
f0,66,12773005,345.81,1.0,345.71,-6.44,-6.09,-5.83,-5.79
f0,67,13033000,343.17,1.0,343.07,-3.8,-3.45,-3.19,-3.15
f0,68,13033001,342.05,1.0,341.95,-2.68,-2.33,-2.07,-2.03
f0,69,13033002,342.55,1.0,342.45,-3.18,-2.83,-2.57,-2.53
f0,70,13033003,342.35,1.0,342.25,-2.98,-2.63,-2.37,-2.33
f0,71,13033004,342.40000000000003,1.0,342.3,-3.03,-2.68,-2.42,-2.38
f0,72,13033005,342.51000000000005,1.0,342.41,-3.14,-2.79,-2.53,-2.49
f0,73,13033006,342.35,1.0,342.25,-2.98,-2.63,-2.37,-2.33
f0,74,13033007,342.22,1.0,342.12,-2.85,-2.5,-2.24,-2.2
f0,75,13033008,342.76000000000005,1.0,342.66,-3.39,-3.04,-2.78,-2.74
f0,76,13033009,342.39000000000004,1.0,342.29,-3.02,-2.67,-2.41,-2.37
f0,77,13033010,342.77000000000004,1.0,342.67,-3.4,-3.05,-2.79,-2.75
f0,78,13033011,342.03000000000003,1.0,341.93,-2.66,-2.31,-2.05,-2.01
f0,79,13033012,342.06,1.0,341.96,-2.69,-2.34,-2.08,-2.04
f0,80,13033013,342.03000000000003,1.0,341.93,-2.66,-2.31,-2.05,-2.01
f0,81,13033014,342.53000000000003,1.0,342.43,-3.16,-2.81,-2.55,-2.51
f0,82,13033015,342.85,1.0,342.75,-3.48,-3.13,-2.87,-2.83
f0,83,13033016,342.59000000000003,1.0,342.49,-3.22,-2.87,-2.61,-2.57
f0,84,13033017,342.58000000000004,1.0,342.48,-3.21,-2.86,-2.6,-2.56
f0,85,13033018,342.58000000000004,1.0,342.48,-3.21,-2.86,-2.6,-2.56
f0,86,13033019,342.44,1.0,342.34,-3.07,-2.72,-2.46,-2.42
f0,87,13033020,342.0,1.0,341.9,-2.63,-2.28,-2.02,-1.98
f0,88,13033021,342.66,1.0,342.56,-3.29,-2.94,-2.68,-2.64
f0,89,13033022,342.14000000000004,1.0,342.04,-2.77,-2.42,-2.16,-2.12
f0,90,13033023,342.53000000000003,1.0,342.43,-3.16,-2.81,-2.55,-2.51
f0,91,13033024,342.08000000000004,1.0,341.98,-2.71,-2.36,-2.1,-2.06
f0,92,13033025,342.58000000000004,1.0,342.48,-3.21,-2.86,-2.6,-2.56
f0,93,13033026,342.65000000000003,1.0,342.55,-3.28,-2.93,-2.67,-2.63
f0,94,13033027,342.44,1.0,342.34,-3.07,-2.72,-2.46,-2.42
f0,95,13033028,342.09000000000003,1.0,341.99,-2.72,-2.37,-2.11,-2.07
f0,96,13033029,343.34000000000003,1.0,343.24,-3.97,-3.62,-3.36,-3.32
f0,97,13033030,342.18,1.0,342.08,-2.81,-2.46,-2.2,-2.16
