bid,poly_area,bgid,shed,source,use,f0_scale,f0_elv
6525000,523.5,10002047.0,False,fjoin_BCA,Printing & Publishing Industry,1.0,0.1
5072000,1648.22,10002303.0,False,fjoin_BCA,Metal Fabricating Industries,1.0,0.1
23824000,52.23,10002345.0,False,fjoin_BCA,Industrial (Vacant),1.0,0.1
23851000,103.29,10002346.0,False,fjoin_BCA,Storage & Warehousing (Closed),1.0,0.1
23851001,54.76,10002346.0,False,fjoin_BCA,Storage & Warehousing (Closed),1.0,0.1
23851002,167.08,10002346.0,False,fjoin_BCA,Storage & Warehousing (Closed),1.0,0.1
23851003,99.99,10002346.0,False,fjoin_BCA,Storage & Warehousing (Closed),1.0,0.1
23851004,90.17,10002346.0,False,fjoin_BCA,Storage & Warehousing (Closed),1.0,0.1
24382000,2319.43,10002499.0,False,fjoin_BCA,Storage & Warehousing (Closed),1.0,0.1
24293000,1772.7,10002501.0,False,fjoin_BCA,Storage & Warehousing (Closed),1.0,0.1
24293001,1043.16,10002501.0,False,fjoin_BCA,Storage & Warehousing (Closed),1.0,0.1
5083000,1884.14,10002507.0,False,fjoin_BCA,Storage & Warehousing (Closed),1.0,0.1
5078001,1076.26,10002509.0,False,fjoin_BCA,Storage & Warehousing (Closed),1.0,0.1
5197000,160.64,10002509.0,False,fjoin_BCA,Storage & Warehousing (Closed),1.0,0.1
5180000,1366.86,10002514.0,False,fjoin_BCA,Storage & Warehousing (Closed),1.0,0.1
5179000,605.51,10002514.0,False,fjoin_BCA,Storage & Warehousing (Closed),1.0,0.1
5087000,280.18,10002528.0,False,fjoin_BCA,Storage & Warehousing (Closed),1.0,0.1
5102000,349.67,10002529.0,False,fjoin_BCA,Concrete Mixing Plants,1.0,0.1
24220000,2209.02,10002531.0,False,fjoin_BCA,Government Buildings (Includes Courthous,1.0,0.1
24312000,3048.14,10002532.0,False,fjoin_BCA,Storage & Warehousing (Closed),1.0,0.1
24312001,1676.72,10002532.0,False,fjoin_BCA,Storage & Warehousing (Closed),1.0,0.1
5102001,78.31,10002533.0,False,fjoin_BCA,Concrete Mixing Plants,1.0,0.1
5102002,174.32,10002533.0,False,fjoin_BCA,Concrete Mixing Plants,1.0,0.1
5102003,265.7,10002533.0,False,fjoin_BCA,Concrete Mixing Plants,1.0,0.1
24302000,684.68,10002534.0,False,fjoin_BCA,Concrete Mixing Plants,1.0,0.1
24302001,366.25,10002534.0,False,fjoin_BCA,Concrete Mixing Plants,1.0,0.1
5085000,278.74,10002538.0,False,fjoin_BCA,Storage & Warehousing (Closed),1.0,0.1
5086000,289.63,10002538.0,False,fjoin_BCA,Storage & Warehousing (Closed),1.0,0.1
5127000,656.95,10002545.0,False,fjoin_BCA,Storage & Warehousing (Closed),1.0,0.1
5186000,1299.06,10002546.0,False,fjoin_BCA,Concrete Mixing Plants,1.0,0.1
24261001,484.48,10002555.0,False,fjoin_BCA,Concrete Mixing Plants,1.0,0.1
24261000,572.97,10002555.0,False,fjoin_BCA,Concrete Mixing Plants,1.0,0.1
5110000,1042.81,10002647.0,False,fjoin_BCA,Storage & Warehousing (Closed),1.0,0.1
23134000,2965.66,10003440.0,False,fjoin_BCA,Printing & Publishing Industry,1.0,0.1
25989002,120.52,10100402.0,False,fjoin_BCA,Lumber Remanufacturing (When Separate Fr,1.0,0.1
4839000,1311.64,10004988.0,False,fjoin_BCA,Store(S) And Offices,1.0,0.1
4840000,2189.98,10004988.0,False,fjoin_BCA,Store(S) And Offices,1.0,0.1
4843000,546.07,10004988.0,False,fjoin_BCA,Store(S) And Offices,1.0,0.1
5157007,1751.31,10005227.0,False,NPRI,"Veneer, plywood and engineered wood product manufacturing",1.0,0.1
24349000,1907.88,10005289.0,False,fjoin_BCA,Storage & Warehousing (Closed),1.0,0.1
5071000,4591.19,10005646.0,False,fjoin_BCA,Store(S) And Service Commercial,1.0,0.1
5128000,661.6,10005946.0,False,fjoin_BCA,Storage & Warehousing (Closed),1.0,0.1
18848002,1115.65,10008423.0,False,NPRI,"Water, sewage and other systems",1.0,0.1
9862000,61.26,20200369.0,False,fjoin_BCA,Storage & Warehousing (Closed),1.0,0.1
9862001,718.82,20200369.0,False,fjoin_BCA,Storage & Warehousing (Closed),1.0,0.1
