xid,0.2,0.05,0.01,0.005,0.002,0.0,ead
1,,0.0,0.0,0.0,0.0,,0.0
2,0.0,0.0,0.0,0.0,2.5,4.167,0.01
3,,0.0,0.0,0.0,0.0,,0.0
4,,0.0,0.0,0.0,0.0,,0.0
5,,0.0,0.0,0.0,0.0,,0.0
6,,0.0,0.0,0.0,0.0,,0.0
7,0.0,0.5,0.5,0.5,0.5,0.5,0.062
8,,0.0,0.0,0.0,0.0,,0.0
9,0.0,0.0,0.0,0.0,1.1,1.833,0.005
10,0.0,0.0,1.0,1.0,1.0,1.0,0.03
11,0.0,1.18,1.18,1.18,1.18,1.18,0.148
12,0.0,0.0,0.0,1.18,1.18,1.18,0.009
13,0.0,0.0,1.0,1.0,1.0,1.0,0.03
14,0.0,0.55,0.55,0.55,0.55,0.55,0.069
15,,0.0,0.0,0.0,0.0,,0.0
16,,0.0,0.0,0.0,0.0,,0.0
17,0.0,0.0,0.5,0.5,0.5,0.5,0.015
18,0.0,0.0,0.0,0.0,1.0,1.667,0.004
19,0.0,0.0,0.0,1.0,1.0,1.0,0.008
20,0.0,0.0,0.55,0.55,0.55,0.55,0.017
21,,0.0,0.0,0.0,0.0,,0.0
22,0.0,0.0,1.18,1.18,1.18,1.18,0.035
23,0.0,0.0,1.18,1.18,1.18,1.18,0.035
24,0.0,0.0,1.1,1.1,1.1,1.1,0.033
25,0.0,0.0,0.0,1.0,1.0,1.0,0.008
26,0.0,0.0,0.0,1.18,1.18,1.18,0.009
27,,0.0,0.0,0.0,0.0,,0.0
28,,0.0,0.0,0.0,0.0,,0.0
29,,0.0,0.0,0.0,0.0,,0.0
30,0.0,0.0,0.0,1.0,1.0,1.0,0.008
31,0.0,0.0,1.0,1.0,1.0,1.0,0.03
32,0.0,0.0,0.0,0.0,2.75,4.583,0.011
33,,0.0,0.0,0.0,0.0,,0.0
34,,0.0,0.0,0.0,0.0,,0.0
35,0.0,0.0,0.0,0.0,1.18,1.967,0.005
36,0.0,0.0,0.0,0.0,1.18,1.967,0.005
37,0.0,0.0,0.0,0.0,1.1,1.833,0.005
38,0.0,1.1,1.1,1.1,1.1,1.1,0.138
39,0.0,0.0,1.1,1.1,1.1,1.1,0.033
40,,0.0,0.0,0.0,0.0,,0.0
41,,0.0,0.0,0.0,0.0,,0.0
42,,0.0,0.0,0.0,0.0,,0.0
43,0.0,0.0,1.1,1.1,1.1,1.1,0.033
