xid,0.2,0.05,0.01,0.005,0.002,0.0,ead
1,,0.0,0.0,0.0,0.0,,0.0
2,,0.0,0.0,0.0,0.0,,0.0
3,,0.0,0.0,0.0,0.0,,0.0
4,,0.0,0.0,0.0,0.0,,0.0
5,,0.0,0.0,0.0,0.0,,0.0
6,,0.0,0.0,0.0,0.0,,0.0
7,,0.0,0.0,0.0,0.0,,0.0
8,0.0,74.98555,125.00501,175.02447,399.98111,549.9522,12.18624
9,,0.0,0.0,0.0,0.0,,0.0
10,0.0,174.99995,749.91175,1049.99969,1549.94085,1883.23496,43.4561
11,0.0,3225.29671,3750.30698,4224.61532,7674.7996,9974.92245,436.84548
12,0.0,98.70931,1550.04466,2000.4059,2649.72809,3082.60955,61.96194
13,0.0,50.58245,250.88895,350.03055,449.17216,515.26657,13.48865
14,0.0,725.29884,2525.11448,3125.50074,4200.01754,4916.36207,153.63687
15,0.0,1049.99471,1075.18338,1200.19386,1224.91608,1241.39756,133.04559
16,0.0,49.81086,774.8356,2099.80448,2725.2075,3142.14285,40.52021
17,0.0,0.0,0.0,49.31161,2123.92157,3506.99488,9.01405
18,0.0,0.0,0.0,0.0,150.01598,250.02663,0.62507
19,,0.0,0.0,0.0,0.0,,0.0
20,,0.0,0.0,0.0,0.0,,0.0
21,,0.0,0.0,0.0,0.0,,0.0
22,,0.0,0.0,0.0,0.0,,0.0
23,0.0,0.0,0.0,0.0,327.27851,545.46418,1.36366
24,,0.0,0.0,0.0,0.0,,0.0
25,,0.0,0.0,0.0,0.0,,0.0
26,,0.0,0.0,0.0,0.0,,0.0
27,,0.0,0.0,0.0,0.0,,0.0
28,,0.0,0.0,0.0,0.0,,0.0
29,0.0,0.0,0.0,0.0,1025.08844,1708.48073,4.2712
30,0.0,39.04148,150.0267,150.0267,225.04005,275.04895,8.5223
31,,0.0,0.0,0.0,0.0,,0.0
32,0.0,0.0,25.13833,50.03838,424.96881,674.92243,2.50311
33,0.0,100.1514,199.98686,249.90458,375.01484,458.42168,16.40966
34,0.0,100.01087,149.97467,425.02539,832.73,1104.53307,17.76192
35,0.0,175.04424,224.97426,250.03566,299.96568,333.25236,23.77443
36,0.0,1549.74029,2125.43606,2674.75715,7300.33174,10384.04813,234.38154
37,,0.0,0.0,0.0,0.0,,0.0
38,,0.0,0.0,0.0,0.0,,0.0
39,,0.0,0.0,0.0,0.0,,0.0
40,0.0,2.69408,10.48507,28.46988,50.02253,64.39096,0.79518
41,0.0,0.0,12.47659,48.12399,825.23731,1343.31286,3.87963
42,,0.0,0.0,0.0,0.0,,0.0
43,,0.0,0.0,0.0,0.0,,0.0
44,0.0,47.31034,124.97072,124.97072,549.87117,833.13814,10.01402
45,0.0,6999.33696,9826.54848,13600.98432,15426.74112,16643.91232,995.64905
46,0.0,174.73824,549.91152,725.2208,2400.08112,3516.65467,41.39088
47,0.0,0.0,5.58548,125.08092,724.92773,1124.8256,3.56314
48,0.0,2876.51236,5748.39266,6174.54264,7573.42628,8506.01537,454.74526
49,0.0,49.55754,175.00005,325.22133,625.66389,825.95893,12.33647
50,,0.0,0.0,0.0,0.0,,0.0
51,,0.0,0.0,0.0,0.0,,0.0
52,0.0,769.57071,1271.46465,1572.60101,2174.87374,2576.38889,116.02115
