xid,wse_sB_0020_1218,wse_sB_0100_1218,wse_sB_0200_1218,wse_sB_0500_1218
1,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0
8,0.0859,0.1432,0.2005,0.4582
9,0.0,0.0,0.0,0.0
10,0.5112,0.779,0.8763,0.9737
11,0.3944,0.4586,0.5166,0.9385
12,0.0875,0.2772,0.3388,0.415
13,0.0124,0.0259,0.0259,0.0284
14,0.054,0.188,0.2327,0.3127
15,0.2251,0.2305,0.2573,0.2626
16,0.009,0.14,0.3794,0.4924
17,0.0014,0.0688,0.1384,0.2392
18,0.0,0.0874,0.1457,0.3204
19,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0
23,0.0,0.0031,0.0064,0.0155
24,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0248
28,0.0,0.0,0.0,0.0
29,0.0,0.316,0.5581,0.8069
30,0.1564,0.2346,0.3909,0.5473
31,0.0,0.0,0.0,0.0
32,0.042,0.3777,0.4407,0.4616
33,0.0791,0.1187,0.1899,0.3244
34,0.5104,1.0,1.0,1.0
35,0.2594,0.3112,0.389,0.6225
36,0.2996,0.8466,0.9868,1.0
37,0.0,0.0,0.0,0.0
38,0.0,0.0,0.0,0.0
39,0.0,0.0,0.0,0.0
40,0.0037,0.0144,0.0391,0.0687
41,0.0027,0.0547,0.1389,0.31
42,0.0,0.0,0.0,0.0
43,0.0,0.0,0.0,0.0
44,0.014,0.0644,0.0784,0.1036
45,0.1936,0.2718,0.3762,0.4267
46,0.127,0.4684,0.7443,0.8756
47,0.0001,0.6351,0.709,0.7238
48,0.1214,0.2067,0.2229,0.2488
49,0.0226,0.0484,0.1308,0.2793
50,0.0,0.0,0.0,0.0
51,0.0,0.0,0.0,0.0
52,0.0094,0.0139,0.0157,0.0188
53,0.0,0.1199,0.2473,0.3747
54,0.0002,0.0002,0.0192,0.0528
55,0.0,0.0,0.0,0.0
56,0.0,0.0,0.0,0.0
57,0.0,0.2972,0.8687,1.0
