xid,f0_elv,f0_scale,leisure,source,name,IBI_Repair_m2,Type,USEDECS,IBI_Type,leisure_2,sport
1,0.0,1440.27,,ALUI,,13,,"Parks, zoos, fields, gardens",Typical Park,,
2,0.0,2578.13,,ALUI,,13,,"Parks, zoos, fields, gardens",Typical Park,,
3,0.0,520.51,,OSM,,8,,,Sport Facility,pitch,baseball
4,0.0,735542.09,,ALUI,,12,,"Parks, zoos, fields, gardens",Path or Naturalized,,
5,0.0,2900.33,,OSM,,8,,,Sport Facility,pitch,soccer
6,0.0,1465.29,,OSM,,8,,,Sport Facility,pitch,soccer
7,0.0,2541.51,,OSM,,8,,,Sport Facility,pitch,tennis
8,0.0,872.94,,ALUI,,13,,"Parks, zoos, fields, gardens",Typical Park,,
9,0.0,9502.54,,LocRegParks,,13,Park,,Typical Park,,
10,0.0,2053.99,,LocRegParks,,13,Park,,Typical Park,,
11,0.0,8177.73,,LocRegParks,,13,Park,,Typical Park,,
12,0.0,15423.33,,LocRegParks,,13,Park,,Typical Park,,
13,0.0,20232.98,,LocRegParks,,13,Park,,Typical Park,,
14,0.0,13431.46,,LocRegParks,,13,Park,,Typical Park,,
15,0.0,4664.57,,LocRegParks,,13,Park,,Typical Park,,
16,0.0,5534.54,,LocRegParks,,13,Park,,Typical Park,,
17,0.0,35222.58,,ALUI,,13,,"Parks, zoos, fields, gardens",Typical Park,,
18,0.0,1716.43,,ALUI,,13,,"Parks, zoos, fields, gardens",Typical Park,,
19,0.0,32821.81,,ALUI,,30,,"Parks, zoos, fields, gardens",Formal Park,,
20,0.0,7921.77,,ALUI,,13,,"Parks, zoos, fields, gardens",Typical Park,,
21,0.0,10211.58,,ALUI,,13,,"Parks, zoos, fields, gardens",Typical Park,,
22,0.0,762.16,,ALUI,,13,,"Parks, zoos, fields, gardens",Typical Park,,
23,0.0,112854.66,,ALUI,,30,,"Parks, zoos, fields, gardens",Formal Park,,
24,0.0,2246.67,,ALUI,,13,,"Parks, zoos, fields, gardens",Typical Park,,
25,0.0,674.31,park,OSM,,13,,,Typical Park,,
26,0.0,39154.54,park,OSM,Skaha Lake Middle School Field,30,,,Formal Park,,
27,0.0,1596.11,park,OSM,Manhattan Point,13,,,Typical Park,,
28,0.0,29474.87,park,OSM,Princess Margaret Secondary School Field,13,,,Typical Park,,
29,0.0,3718.13,park,OSM,Jack Brow Park,13,,,Typical Park,,
30,0.0,959.25,park,OSM,Manhattan Drive Beach Access,13,,,Typical Park,,
31,0.0,2827.83,park,OSM,,13,,,Typical Park,,
32,0.0,1191.39,park,OSM,Jennens Park,13,,,Typical Park,,
33,0.0,3159.35,park,OSM,Aberdeen Park,13,,,Typical Park,,
34,0.0,832.73,park,OSM,Falcon Park,13,,,Typical Park,,
35,0.0,963.9,park,OSM,Sternwheeler Park,13,,,Typical Park,,
36,0.0,9094.72,park,OSM,Marjorie Pritchard Memorial Park,13,,,Typical Park,,
37,0.0,13087.66,park,OSM,,30,,,Formal Park,,
38,0.0,158.45,park,OSM,,30,,,Formal Park,,
39,0.0,2265.68,park,OSM,Ellis Park,13,,,Typical Park,,
40,0.0,728.13,park,OSM,,13,,,Typical Park,,
41,0.0,17823.7,park,OSM,,13,,,Typical Park,,
42,0.0,29708.78,park,OSM,,13,,,Typical Park,,
43,0.0,6470.02,park,OSM,,30,,,Formal Park,,
44,0.0,8926.48,park,OSM,,30,,,Formal Park,,
45,0.0,36153.6,park,OSM,Riverside Park,30,,,Formal Park,,
46,0.0,5710.4,park,OSM,SS Sicamous Heritage Shipyard Area,13,,,Typical Park,,
47,0.0,1692.57,park,OSM,Pioneer Park,13,,,Typical Park,,
48,0.0,46320.65,park,OSM,Kaloya Regional Park,13,,,Typical Park,,
