xid,0.2,0.05,0.01,0.005,0.002,0.0,ead
1,,0.0,0.0,0.0,0.0,,0.0
2,,0.0,0.0,0.0,0.0,,0.0
3,,0.0,0.0,0.0,0.0,,0.0
4,,0.0,0.0,0.0,0.0,,0.0
5,,0.0,0.0,0.0,0.0,,0.0
6,,0.0,0.0,0.0,0.0,,0.0
7,,0.0,0.0,0.0,0.0,,0.0
8,0.0,74.98555,125.00501,175.02447,399.98111,549.9522,12.18624
9,,0.0,0.0,0.0,0.0,,0.0
10,0.0,1049.99969,1600.05821,1799.91144,1999.97006,2133.34247,150.08419
11,0.0,3225.29671,3750.30698,4224.61532,7674.7996,9974.92245,436.84548
12,0.0,1349.54138,4275.34708,5225.4242,6400.68195,7184.18712,268.48933
13,0.0,250.88895,524.03418,524.03418,574.61663,608.33826,39.76624
14,0.0,725.29884,2525.11448,3125.50074,4200.01754,4916.36207,153.63687
15,0.0,1049.99471,1075.18338,1200.19386,1224.91608,1241.39756,133.04559
16,0.0,49.81086,774.8356,2099.80448,2725.2075,3142.14285,40.52021
17,0.0,49.31161,2423.3135,4874.80507,8425.24114,10792.19852,110.56368
18,0.0,0.0,150.01598,250.08385,549.94417,749.85105,6.50041
19,,0.0,0.0,0.0,0.0,,0.0
20,,0.0,0.0,0.0,0.0,,0.0
21,,0.0,0.0,0.0,0.0,,0.0
22,,0.0,0.0,0.0,0.0,,0.0
23,0.0,0.0,349.84945,722.26982,1749.24723,2433.89884,17.56771
24,,0.0,0.0,0.0,0.0,,0.0
25,,0.0,0.0,0.0,0.0,,0.0
26,,0.0,0.0,0.0,0.0,,0.0
27,0.0,0.0,0.0,0.0,39.58353,65.97255,0.16493
28,,0.0,0.0,0.0,0.0,,0.0
29,0.0,0.0,1174.92908,2075.08835,3000.1591,3616.87293,45.85353
30,0.0,150.0267,225.04005,374.97083,524.99752,625.01531,22.75333
31,,0.0,0.0,0.0,0.0,,0.0
32,0.0,50.03838,449.988,525.04557,549.94562,566.54565,18.91997
33,0.0,249.90458,375.01484,599.96056,1024.89314,1308.18153,38.44903
34,0.0,425.02539,832.73,832.73,832.73,832.73,65.35931
35,0.0,250.03566,299.96568,374.9571,600.02775,750.07485,34.25259
36,0.0,2724.77811,7699.58995,8974.6697,9094.72,9174.75353,499.90493
37,,0.0,0.0,0.0,0.0,,0.0
38,,0.0,0.0,0.0,0.0,,0.0
39,,0.0,0.0,0.0,0.0,,0.0
40,0.0,2.69408,10.48507,28.46988,50.02253,64.39096,0.79518
41,0.0,48.12399,974.95639,2475.71193,5525.347,7558.43705,57.78295
42,,0.0,0.0,0.0,0.0,,0.0
43,,0.0,0.0,0.0,0.0,,0.0
44,0.0,124.97072,574.86531,699.83603,924.78333,1074.7482,30.99274
45,0.0,6999.33696,9826.54848,13600.98432,15426.74112,16643.91232,995.64905
46,0.0,725.2208,2674.75136,4250.25072,5000.02624,5499.87659,164.07883
47,0.0,0.16926,1074.95121,1200.03213,1225.08217,1241.7822,33.3071
48,0.0,5623.32691,9574.47835,10324.87288,11524.57772,12324.38095,832.07714
49,0.0,350.0001,749.55773,2025.66428,4325.44369,5858.62996,74.88995
50,,0.0,0.0,0.0,0.0,,0.0
51,,0.0,0.0,0.0,0.0,,0.0
