xid,0.2,0.05,0.01,0.005,0.002,0.0,ead
2,0.0,1.0,1.0,1.0,1.0,1.0,0.125
7,,0.0,0.0,0.0,0.0,,0.0
11,0.0,0.0,1.0,1.0,1.0,1.0,0.03
14,,0.0,0.0,0.0,0.0,,0.0
18,0.0,0.0,0.0,0.0,1.0,1.667,0.004
20,0.0,0.0,0.0,0.0,1.0,1.667,0.004
21,,0.0,0.0,0.0,0.0,,0.0
25,,0.0,0.0,0.0,0.0,,0.0
26,,0.0,0.0,0.0,0.0,,0.0
29,,0.0,0.0,0.0,0.0,,0.0
30,0.0,0.0,1.0,1.0,1.0,1.0,0.03
31,0.0,0.0,0.0,0.0,1.0,1.667,0.004
33,,0.0,0.0,0.0,0.0,,0.0
36,,0.0,0.0,0.0,0.0,,0.0
40,,0.0,0.0,0.0,0.0,,0.0
42,0.0,0.0,1.0,1.0,1.0,1.0,0.03
43,,0.0,0.0,0.0,0.0,,0.0
44,,0.0,0.0,0.0,0.0,,0.0
47,0.0,1.0,1.0,1.0,1.0,1.0,0.125
49,0.0,0.0,1.0,1.0,1.0,1.0,0.03
50,,0.0,0.0,0.0,0.0,,0.0
51,0.0,0.0,0.0,0.0,1.0,1.667,0.004
52,,0.0,0.0,0.0,0.0,,0.0
55,,0.0,0.0,0.0,0.0,,0.0
56,0.0,0.0,1.0,1.0,1.0,1.0,0.03
59,0.0,0.0,1.0,1.0,1.0,1.0,0.03
60,,0.0,0.0,0.0,0.0,,0.0
63,,0.0,0.0,0.0,0.0,,0.0
66,,0.0,0.0,0.0,0.0,,0.0
69,,0.0,0.0,0.0,0.0,,0.0
70,,0.0,0.0,0.0,0.0,,0.0
71,,0.0,0.0,0.0,0.0,,0.0
73,0.0,0.0,0.0,1.0,1.0,1.0,0.008
74,,0.0,0.0,0.0,0.0,,0.0
75,,0.0,0.0,0.0,0.0,,0.0
76,,0.0,0.0,0.0,0.0,,0.0
77,,0.0,0.0,0.0,0.0,,0.0
79,0.0,0.0,0.0,1.0,1.0,1.0,0.008
82,,0.0,0.0,0.0,0.0,,0.0
83,,0.0,0.0,0.0,0.0,,0.0
84,,0.0,0.0,0.0,0.0,,0.0
85,,0.0,0.0,0.0,0.0,,0.0
86,,0.0,0.0,0.0,0.0,,0.0
87,,0.0,0.0,0.0,0.0,,0.0
88,,0.0,0.0,0.0,0.0,,0.0
89,,0.0,0.0,0.0,0.0,,0.0
90,,0.0,0.0,0.0,0.0,,0.0
92,0.0,0.0,0.0,0.0,1.0,1.667,0.004
93,0.0,0.0,1.0,1.0,1.0,1.0,0.03
94,,0.0,0.0,0.0,0.0,,0.0
95,,0.0,0.0,0.0,0.0,,0.0
96,,0.0,0.0,0.0,0.0,,0.0
97,,0.0,0.0,0.0,0.0,,0.0
98,,0.0,0.0,0.0,0.0,,0.0
100,0.0,1.0,1.0,1.0,1.0,1.0,0.125
101,0.0,1.0,1.0,1.0,1.0,1.0,0.125
103,0.0,1.0,1.0,1.0,1.0,1.0,0.125
104,0.0,0.0,1.0,1.0,1.0,1.0,0.03
108,,0.0,0.0,0.0,0.0,,0.0
113,0.0,0.0,1.0,1.0,1.0,1.0,0.03
115,,0.0,0.0,0.0,0.0,,0.0
126,,0.0,0.0,0.0,0.0,,0.0
129,,0.0,0.0,0.0,0.0,,0.0
130,,0.0,0.0,0.0,0.0,,0.0
131,0.0,0.0,0.0,0.0,1.0,1.667,0.004
132,,0.0,0.0,0.0,0.0,,0.0
134,,0.0,0.0,0.0,0.0,,0.0
135,0.0,0.0,1.0,1.0,1.0,1.0,0.03
136,,0.0,0.0,0.0,0.0,,0.0
137,,0.0,0.0,0.0,0.0,,0.0
138,,0.0,0.0,0.0,0.0,,0.0
139,,0.0,0.0,0.0,0.0,,0.0
140,,0.0,0.0,0.0,0.0,,0.0
144,,0.0,0.0,0.0,0.0,,0.0
147,,0.0,0.0,0.0,0.0,,0.0
165,0.0,0.0,0.0,1.0,1.0,1.0,0.008
179,0.0,1.0,1.0,1.0,1.0,1.0,0.125
180,0.0,1.0,1.0,1.0,1.0,1.0,0.125
182,,0.0,0.0,0.0,0.0,,0.0
183,,0.0,0.0,0.0,0.0,,0.0
