nestID,bidx,xid,felv,fscale,gels,wse_sB_0020_1218_dep,wse_sB_0100_1218_dep,wse_sB_0200_1218_dep,wse_sB_0500_1218_dep
f0,0,2,277.78400000000005,1,277.684,1.736,2.286,2.576,2.896
f0,1,7,282.66,1,282.56,-3.14,-2.59,-2.3,-1.98
f0,2,11,279.53000000000003,1,279.43,-0.01,0.54,0.83,1.15
f0,3,14,283.99,1,283.89,-4.47,-3.92,-3.63,-3.31
f0,4,18,280.53000000000003,1,280.43,-1.01,-0.46,-0.17,0.15
f0,5,20,280.48,1,280.38,-0.96,-0.41,-0.12,0.2
f0,6,21,289.47,1,289.37,-9.95,-9.4,-9.11,-8.79
f0,7,25,284.99,1,284.89,-5.47,-4.92,-4.63,-4.31
f0,8,26,282.82000000000005,1,282.72,-3.3,-2.75,-2.46,-2.14
f0,9,29,288.23,1,288.13,-8.71,-8.16,-7.87,-7.55
f0,10,30,279.91,1,279.81,-0.39,0.16,0.45,0.77
f0,11,31,280.39000000000004,1,280.29,-0.87,-0.32,-0.03,0.29
f0,12,33,286.38,1,286.28,-6.86,-6.31,-6.02,-5.7
f0,13,36,284.27000000000004,1,284.17,-4.75,-4.2,-3.91,-3.59
f0,14,40,284.98,1,284.88,-5.46,-4.91,-4.62,-4.3
f0,15,42,279.79,1,279.69,-0.27,0.28,0.57,0.89
f0,16,43,280.99,1,280.89,-1.47,-0.92,-0.63,-0.31
f0,17,44,285.34000000000003,1,285.24,-5.82,-5.27,-4.98,-4.66
f0,18,47,279.46000000000004,1,279.36,0.06,0.61,0.9,1.22
f0,19,49,280.05,1,279.95,-0.53,0.02,0.31,0.63
f0,20,50,281.05,1,280.95,-1.53,-0.98,-0.69,-0.37
f0,21,51,280.44,1,280.34,-0.92,-0.37,-0.08,0.24
f0,22,52,281.70000000000005,1,281.6,-2.18,-1.63,-1.34,-1.02
f0,23,55,280.70000000000005,1,280.6,-1.18,-0.63,-0.34,-0.02
f0,24,56,279.93,1,279.83,-0.41,0.14,0.43,0.75
f0,25,59,279.72,1,279.62,-0.2,0.35,0.64,0.96
f0,26,60,280.73,1,280.63,-1.21,-0.66,-0.37,-0.05
f0,27,63,281.43,1,281.33,-1.91,-1.36,-1.07,-0.75
f0,28,66,280.81,1,280.71,-1.29,-0.74,-0.45,-0.13
f0,29,69,280.97,1,280.87,-1.45,-0.9,-0.61,-0.29
f0,30,70,281.59000000000003,1,281.49,-2.07,-1.52,-1.23,-0.91
f0,31,71,280.94,1,280.84,-1.42,-0.87,-0.58,-0.26
f0,32,73,280.1,1,280.0,-0.58,-0.03,0.26,0.58
f0,33,74,281.23,1,281.13,-1.71,-1.16,-0.87,-0.55
f0,34,75,285.47,1,285.37,-5.95,-5.4,-5.11,-4.79
f0,35,76,284.90000000000003,1,284.8,-5.38,-4.83,-4.54,-4.22
f0,36,77,282.34000000000003,1,282.24,-2.82,-2.27,-1.98,-1.66
f0,37,79,280.22,1,280.12,-0.7,-0.15,0.14,0.46
f0,38,82,283.90000000000003,1,283.8,-4.38,-3.83,-3.54,-3.22
f0,39,83,281.04,1,280.94,-1.52,-0.97,-0.68,-0.36
