xid,f0_elv,f0_scale,TRANSPORT_LINE_TYPE_CODE,TRANSPORT_LINE_SURFACE_CODE,TRANSPORT_LINE_DIVIDED_CODE,TOTAL_NUMBER_OF_LANES,DISASTER_ROUTE_IND,TRUCK_ROUTE_IND,FROM_TRAFFIC_IMPACTOR_CODE,TO_TRAFFIC_IMPACTOR_CODE,TRANSPORT_LINE_SURFACE_CODE_DESCRIPTION,TRANSPORT_LINE_TYPE_CODE_DESCRIPTION,TRANSPORT_LINE_TYPE_CODE_ROAD_CLASS
0,0.0,6.0,RA1,P,N,2,N,Y,L,,paved,Road arterial major,arterial
1,0.0,6.0,RA1,P,N,2,N,Y,L,,paved,Road arterial major,arterial
2,0.0,6.0,RA1,P,N,2,N,Y,,L,paved,Road arterial major,arterial
3,0.0,6.0,RA1,P,N,2,N,Y,,L,paved,Road arterial major,arterial
4,0.0,6.0,RA1,P,N,2,N,Y,,L,paved,Road arterial major,arterial
5,0.0,6.0,RA1,P,N,2,N,Y,,L,paved,Road arterial major,arterial
6,0.0,1.0,RRC,P,N,2,N,N,,S,paved,Road recreation demographic,recreation
7,0.0,1.0,RRC,P,N,2,N,N,,S,paved,Road recreation demographic,recreation
8,0.0,1.0,RRC,P,N,2,N,N,,S,paved,Road recreation demographic,recreation
9,0.0,1.0,RRC,P,N,2,N,N,,S,paved,Road recreation demographic,recreation
10,0.0,6.0,RH1,P,H,2,N,Y,,,paved,Road highway major,highway
11,0.0,6.0,RH1,P,H,2,N,Y,,,paved,Road highway major,highway
12,0.0,6.0,RH1,P,H,2,N,Y,,,paved,Road highway major,highway
13,0.0,6.0,RH1,P,H,2,N,Y,,,paved,Road highway major,highway
14,0.0,6.0,RH1,P,H,2,N,Y,,,paved,Road highway major,highway
15,0.0,6.0,RH1,P,H,2,N,Y,,,paved,Road highway major,highway
16,0.0,6.0,RH1,P,H,2,N,Y,,,paved,Road highway major,highway
17,0.0,6.0,RH1,P,H,2,N,Y,,,paved,Road highway major,highway
18,0.0,6.0,RH1,P,H,2,N,Y,,,paved,Road highway major,highway
19,0.0,6.0,RH1,P,H,2,N,Y,,,paved,Road highway major,highway
20,0.0,6.0,RH1,P,H,2,N,Y,,,paved,Road highway major,highway
21,0.0,6.0,RH1,P,H,2,N,Y,,,paved,Road highway major,highway
22,0.0,6.0,RH1,P,H,2,N,Y,,,paved,Road highway major,highway
23,0.0,6.0,RH1,P,H,2,N,Y,,,paved,Road highway major,highway
24,0.0,6.0,RH1,P,H,2,N,Y,,,paved,Road highway major,highway
25,0.0,6.0,RH1,P,H,2,N,Y,,,paved,Road highway major,highway
26,0.0,6.0,RH1,P,H,2,N,Y,,,paved,Road highway major,highway
27,0.0,6.0,RH1,P,H,2,N,Y,,,paved,Road highway major,highway
28,0.0,6.0,RH1,P,H,2,N,Y,,,paved,Road highway major,highway
29,0.0,6.0,RH1,P,H,2,N,Y,,,paved,Road highway major,highway
30,0.0,6.0,RH1,P,H,2,N,Y,,,paved,Road highway major,highway
31,0.0,6.0,RH1,P,H,2,N,Y,,,paved,Road highway major,highway
32,0.0,6.0,RH1,P,H,2,N,Y,,,paved,Road highway major,highway
33,0.0,6.0,RH1,P,H,2,N,Y,,,paved,Road highway major,highway
34,0.0,6.0,RH1,P,H,2,N,Y,,,paved,Road highway major,highway
35,0.0,6.0,RH1,P,H,2,N,Y,,,paved,Road highway major,highway
36,0.0,6.0,RH1,P,H,2,N,Y,,,paved,Road highway major,highway
37,0.0,6.0,RH1,P,H,2,N,Y,,,paved,Road highway major,highway
38,0.0,6.0,RH1,P,H,2,N,Y,,,paved,Road highway major,highway
39,0.0,6.0,RH1,P,H,2,N,Y,,,paved,Road highway major,highway
40,0.0,6.0,RH1,P,H,2,N,Y,,,paved,Road highway major,highway
41,0.0,6.0,RH1,P,H,2,N,Y,,,paved,Road highway major,highway
42,0.0,6.0,RH1,P,H,2,N,Y,,,paved,Road highway major,highway
43,0.0,6.0,RH1,P,H,2,N,Y,,,paved,Road highway major,highway
44,0.0,6.0,RH1,P,H,2,N,Y,,,paved,Road highway major,highway
45,0.0,6.0,RH1,P,H,2,N,Y,,,paved,Road highway major,highway
46,0.0,6.0,RH1,P,H,2,N,Y,,,paved,Road highway major,highway
47,0.0,6.0,RH1,P,H,2,N,Y,,,paved,Road highway major,highway
48,0.0,6.0,RH1,P,H,2,N,Y,,,paved,Road highway major,highway
