xid,wse_sA_0020_1218,wse_sA_0100_1218,wse_sA_0200_1218,wse_sA_0500_1218
1,342.8900146484375,343.3599853515625,343.4800109863281,343.8399963378906
2,342.8900146484375,343.3599853515625,343.4800109863281,343.8399963378906
3,342.8900146484375,343.3599853515625,343.4800109863281,343.8399963378906
4,342.8900146484375,343.3599853515625,343.4800109863281,343.8399963378906
5,342.8900146484375,343.3599853515625,343.4800109863281,343.8399963378906
6,342.8900146484375,343.3599853515625,343.4800109863281,343.8399963378906
7,342.8900146484375,343.3599853515625,343.4800109863281,343.8399963378906
8,342.8900146484375,343.3599853515625,343.4800109863281,343.8399963378906
9,342.8900146484375,343.3599853515625,343.4800109863281,343.8399963378906
10,392.29998779296875,392.7699890136719,392.8399963378906,392.989990234375
11,339.3699951171875,339.7200012207031,339.9800109863281,340.0199890136719
12,339.3699951171875,339.7200012207031,339.9800109863281,340.0199890136719
13,339.3699951171875,339.7200012207031,339.9800109863281,340.0199890136719
14,298.8479919433594,298.9840087890625,299.0880126953125,299.1700134277344
15,298.8479919433594,298.9840087890625,299.0880126953125,299.1700134277344
16,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
17,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
18,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
19,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
20,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
21,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
22,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
23,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
24,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
25,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
26,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
27,342.8900146484375,343.3599853515625,343.4800109863281,343.8399963378906
28,342.8900146484375,343.3599853515625,343.4800109863281,343.8399963378906
29,342.8900146484375,343.3599853515625,343.4800109863281,343.8399963378906
30,339.3699951171875,339.75103759765625,340.0299987792969,340.0510559082031
31,339.3699951171875,339.7200012207031,339.9800109863281,340.0199890136719
32,342.8900146484375,343.3599853515625,343.4800109863281,343.8399963378906
33,342.8900146484375,343.3599853515625,343.4800109863281,343.8399963378906
34,342.8900146484375,343.3599853515625,343.4800109863281,343.8399963378906
35,342.8900146484375,343.3599853515625,343.4800109863281,343.8399963378906
36,342.8900146484375,343.3599853515625,343.4800109863281,343.8399963378906
37,342.8900146484375,343.3599853515625,343.4800109863281,343.8399963378906
38,342.8900146484375,343.3599853515625,343.4800109863281,343.8399963378906
39,342.8900146484375,343.3599853515625,343.4800109863281,343.8399963378906
40,342.8900146484375,343.3599853515625,343.4800109863281,343.8399963378906
41,342.8900146484375,343.3599853515625,343.4800109863281,343.8399963378906
42,342.8900146484375,343.3599853515625,343.4800109863281,343.8399963378906
43,342.8900146484375,343.3599853515625,343.4800109863281,343.8399963378906
