xid,wse_sB_0020_1218,wse_sB_0100_1218,wse_sB_0200_1218,wse_sB_0500_1218
1,343.489990234375,343.8699951171875,344.05999755859375,344.2900085449219
2,343.489990234375,343.8699951171875,344.05999755859375,344.2900085449219
3,343.489990234375,343.8699951171875,344.05999755859375,344.2900085449219
4,343.489990234375,343.8699951171875,344.05999755859375,344.2900085449219
5,343.489990234375,343.8699951171875,344.05999755859375,344.2900085449219
6,343.489990234375,343.8699951171875,344.05999755859375,344.2900085449219
7,343.489990234375,343.8699951171875,344.05999755859375,344.2900085449219
8,343.489990234375,343.8699951171875,344.05999755859375,344.2900085449219
9,343.489990234375,343.8699951171875,344.05999755859375,344.2900085449219
10,392.75,393.25,393.3599853515625,393.5299987792969
11,339.3699951171875,339.7200012207031,339.9800109863281,340.0199890136719
12,339.3699951171875,339.7200012207031,339.9800109863281,340.0199890136719
13,339.3699951171875,339.7200012207031,339.9800109863281,340.0199890136719
14,298.8479919433594,298.9840087890625,299.0880126953125,299.1700134277344
15,298.8479919433594,298.9840087890625,299.0880126953125,299.1700134277344
16,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
17,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
18,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
19,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
20,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
21,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
22,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
23,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
24,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
25,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
26,279.5199890136719,280.07000732421875,280.3599853515625,280.67999267578125
27,343.489990234375,343.8699951171875,344.05999755859375,344.2900085449219
28,343.489990234375,343.8699951171875,344.05999755859375,344.2900085449219
29,343.489990234375,343.8699951171875,344.05999755859375,344.2900085449219
30,339.3699951171875,339.75103759765625,340.0299987792969,340.0510559082031
31,339.3699951171875,339.7200012207031,339.9800109863281,340.0199890136719
32,343.489990234375,343.8699951171875,344.05999755859375,344.2900085449219
33,343.489990234375,343.8699951171875,344.05999755859375,344.2900085449219
34,343.489990234375,343.8699951171875,344.05999755859375,344.2900085449219
35,343.489990234375,343.8699951171875,344.05999755859375,344.2900085449219
36,343.489990234375,343.8699951171875,344.05999755859375,344.2900085449219
37,343.489990234375,343.8699951171875,344.05999755859375,344.2900085449219
38,343.489990234375,343.8699951171875,344.05999755859375,344.2900085449219
39,343.489990234375,343.8699951171875,344.05999755859375,344.2900085449219
40,343.489990234375,343.8699951171875,344.05999755859375,344.2900085449219
41,343.489990234375,343.8699951171875,344.05999755859375,344.2900085449219
42,343.489990234375,343.8699951171875,344.05999755859375,344.2900085449219
43,343.489990234375,343.8699951171875,344.05999755859375,344.2900085449219
