xid,MapID,FacilityID,FacilityNa,f0_elv,f0_scale
1,WW-25,111735,Guy Lift Station,0.5,2.5
2,WW-29,111720,Eldorado Lift Station,0.0,2.5
3,WW-34,111741,Farris Lift Station,0.3,1.0
4,WW-36,111736,Cedar Lift Station,0.5,1.0
5,WW-37,163411,Bluebird Lift Station,0.3,1.0
6,WW-39,111724,Gyro Lift Station,0.5,2.5
7,WW-41,111727,Poplar Point Lift Station,0.0,0.5
8,WW-42,183052,Tugboat Lift Station,1.0,1.0
9,WW-43,183053,Mission Recreation Park Lift Station,0.3,1.1
10,WW-102,1505,Clement Lift Station,0.5,1.0
11,WW-76,OKF113,,0.5,1.18
12,WW-77,OKF121,,0.5,1.18
13,WW-78,OKF133,,0.3,1.0
14,WW-80,OLV327,,0.75,0.55
15,WW-81,OLV433,,1.0,2.5
16,WW-83,OSO41,,0.75,0.55
17,WW-84,OSO73,,0.3,0.5
18,WW-85,OSO162,,0.5,1.0
19,WW-89,OSO417,,0.5,1.0
20,WW-90,OSO503,,0.5,0.55
21,WW-92,OSO643,,1.25,1.0
22,WW-93,OSO644,,0.5,1.18
23,WW-94,OSO678,,0.5,1.18
24,WW-95,OSO679,,0.5,1.1
25,WW-96,OSO680,,0.5,1.0
26,WW-99,OSO655,,0.5,1.18
27,WW-70,SLS-0001,MAIN LIFT STATION,0.5,1.0
28,WW-72,SLS-0003,6TH STREET LIFT STATION,0.5,1.0
29,WW-73,SLS-0004,RENFREW LIFT STATION,0.5,1.0
30,WW-23,SSPU-7,,0.3,1.0
31,WW-24,SSPU-8,,0.0,1.0
32,WW-66,1,,0.5,2.75
33,WW-69,6,,0.5,1.1
34,WW-55,SANN003296,,0.5,1.0
35,WW-63,SANN007785,,0.5,1.18
36,WW-65,SANN007827,,0.5,1.18
37,WW-1,ETLS,,0.5,1.1
38,WW-10,GB-LS,,0.3,1.1
39,WW-12,PDLS,,0.3,1.1
40,WW-13,WBSLS,,0.5,1.18
41,WW-14,WBBBLS,,0.3,1.1
42,WW-17,,Pebble Beach Lift Station,0.5,1.18
43,WW-8,WRLS,,0.3,1.1
