bid,CSDUID,DAUID,use1_gf,use2_gf,Bdrm_up,pop_ref,ref_val,pop_est,occu_rate,f0_elv,f0_scale
787000,5907028,59070170,resi,sfd,1,sfd1,1.5,1.5,0.95,0.1,1.43
2160000,5907041,59070244,resi,sfd,2,sfd2,1.8,1.8,0.89,0.1,1.6
3430000,5907041,59070243,resi,sfd,3,sfd3,2.4,2.4,0.94,0.1,2.26
5231001,5935020,59350355,resi,sfd,1,sfd1,1.3,1.3,0.63,0.1,0.82
5784000,5935020,59350256,resi,sfd,3,sfd3,2.2,2.2,0.35,0.1,0.77
9846000,5907028,59070279,resi,sfd,2,sfd2,1.8,1.8,0.9,0.1,1.62
10430001,5907028,59070170,resi,sfd,1,sfd1,1.5,1.5,0.95,0.1,1.43
2000,5907022,59070290,resi,sfd,2,sfd2,1.7,1.7,0.85,0.1,1.45
3000,5907022,59070290,resi,sfd,5,sfd4,2.8,2.8,0.85,0.1,2.38
8000,5907022,59070290,resi,sfd,2,sfd2,1.7,1.7,0.85,0.1,1.45
10000,5907022,59070289,resi,sfd,2,sfd2,1.7,1.7,0.75,0.1,1.28
11000,5907022,59070290,resi,sfd,1,sfd1,2.0,2.0,0.85,0.1,1.7
15000,5907022,59070289,resi,sfd,2,sfd2,1.7,1.7,0.75,0.1,1.28
16000,5907022,59070289,resi,sfd,3,sfd3,2.3,2.3,0.75,0.1,1.73
18000,5907022,59070290,resi,sfd,2,sfd2,1.7,1.7,0.85,0.1,1.45
19000,5907022,59070289,resi,sfd,3,sfd3,2.3,2.3,0.75,0.1,1.73
20000,5907022,59070289,resi,sfd,3,sfd3,2.3,2.3,0.75,0.1,1.73
21000,5907022,59070290,resi,sfd,4,sfd4,2.8,2.8,0.85,0.1,2.38
22000,5907022,59070290,resi,sfd,1,sfd1,2.0,2.0,0.85,0.1,1.7
24000,5907022,59070289,resi,sfd,1,sfd1,2.0,2.0,0.75,0.1,1.5
25000,5907022,59070289,resi,sfd,2,sfd2,1.7,1.7,0.75,0.1,1.28
28000,5907022,59070290,resi,mh,1,mh,1.77,1.77,0.85,0.1,1.5
30000,5907022,59070289,resi,sfd,1,sfd1,2.0,2.0,0.75,0.1,1.5
30001,5907022,59070289,resi,sfd,1,sfd1,2.0,2.0,0.75,0.1,1.5
28001,5907005,59070288,resi,mh,1,mh,1.4,1.4,0.71,0.1,0.99
28002,5907005,59070288,resi,mh,1,mh,1.4,1.4,0.71,0.1,0.99
28003,5907005,59070288,resi,mh,1,mh,1.4,1.4,0.71,0.1,0.99
28004,5907005,59070288,resi,mh,1,mh,1.4,1.4,0.71,0.1,0.99
28005,5907005,59070288,resi,mh,1,mh,1.4,1.4,0.71,0.1,0.99
28006,5907005,59070288,resi,mh,1,mh,1.4,1.4,0.71,0.1,0.99
28007,5907005,59070288,resi,mh,1,mh,1.4,1.4,0.71,0.1,0.99
28008,5907022,59070290,resi,mh,1,mh,1.77,1.77,0.85,0.1,1.5
53000,5907005,59070291,resi,sfd,2,sfd2,1.9,1.9,0.78,0.1,1.48
54000,5907005,59070291,resi,sfd,3,sfd3,2.0,2.0,0.78,0.1,1.56
57000,5907022,59070289,resi,sfd,3,sfd3,2.3,2.3,0.75,0.1,1.73
58000,5907005,59070291,resi,sfd,3,sfd3,2.0,2.0,0.78,0.1,1.56
60000,5907005,59070291,resi,sfd,3,sfd3,2.0,2.0,0.78,0.1,1.56
62000,5907005,59070291,resi,sfd,2,sfd2,1.9,1.9,0.78,0.1,1.48
68000,5907005,59070291,resi,sfd,4,sfd4,2.7,2.7,0.78,0.1,2.11
64001,5907005,59070291,resi,sfd,3,sfd3,2.0,2.0,0.78,0.1,1.56
73000,5907005,59070288,resi,sfd,4,sfd4,2.7,2.7,0.71,0.1,1.92
74000,5907022,59070289,resi,sfd,5,sfd4,2.8,2.8,0.75,0.1,2.1
77000,5907005,59070291,resi,sfd,2,sfd2,1.9,1.9,0.78,0.1,1.48
78000,5907005,59070291,resi,sfd,3,sfd3,2.0,2.0,0.78,0.1,1.56
79000,5907005,59070291,resi,sfd,2,sfd2,1.9,1.9,0.78,0.1,1.48
80000,5907005,59070291,resi,sfd,4,sfd4,2.7,2.7,0.78,0.1,2.11
81000,5907005,59070288,resi,sfd,2,sfd2,1.9,1.9,0.71,0.1,1.35
82000,5907005,59070288,resi,sfd,3,sfd3,2.0,2.0,0.71,0.1,1.42
86000,5907005,59070291,resi,sfd,3,sfd3,2.0,2.0,0.78,0.1,1.56
88000,5907005,59070291,resi,sfd,4,sfd4,2.7,2.7,0.78,0.1,2.11
89000,5907005,59070291,resi,sfd,4,sfd4,2.7,2.7,0.78,0.1,2.11
