bid,0.2,0.05,0.01,0.005,0.002,0.0,ead
2000,0.0,0.0,0.0,0.0,0.58,0.967,0.002
2001,0.0,0.0,0.0,0.58,0.58,0.58,0.004
3000,0.0,0.0,0.0,0.0,0.95,1.583,0.004
6001,,0.0,0.0,0.0,0.0,,0.0
7001,,0.0,0.0,0.0,0.0,,0.0
8000,,0.0,0.0,0.0,0.0,,0.0
10000,,0.0,0.0,0.0,0.0,,0.0
11000,0.0,0.0,0.0,0.68,0.68,0.68,0.005
11001,0.0,0.0,0.0,0.68,0.68,0.68,0.005
11002,0.0,0.0,0.68,0.68,0.68,0.68,0.02
15000,0.0,0.26,0.26,0.26,0.26,0.26,0.032
16000,,0.0,0.0,0.0,0.0,,0.0
18000,0.0,0.58,0.58,0.58,0.58,0.58,0.072
19000,,0.0,0.0,0.0,0.0,,0.0
20000,,0.0,0.0,0.0,0.0,,0.0
21000,0.0,0.0,0.95,0.95,0.95,0.95,0.028
22000,,0.0,0.0,0.0,0.0,,0.0
22001,,0.0,0.0,0.0,0.0,,0.0
22002,,0.0,0.0,0.0,0.0,,0.0
24000,0.0,0.0,0.3,0.3,0.3,0.3,0.009
24001,0.0,0.0,0.3,0.3,0.3,0.3,0.009
24002,0.0,0.0,0.3,0.3,0.3,0.3,0.009
25000,,0.0,0.0,0.0,0.0,,0.0
28000,,0.0,0.0,0.0,0.0,,0.0
28001,,0.0,0.0,0.0,0.0,,0.0
28002,,0.0,0.0,0.0,0.0,,0.0
28003,,0.0,0.0,0.0,0.0,,0.0
28004,,0.0,0.0,0.0,0.0,,0.0
28005,0.0,0.0,0.5,0.5,0.5,0.5,0.015
28006,0.0,0.5,0.5,0.5,0.5,0.5,0.062
28007,0.0,0.0,0.5,0.5,0.5,0.5,0.015
28008,,0.0,0.0,0.0,0.0,,0.0
28009,,0.0,0.0,0.0,0.0,,0.0
28010,,0.0,0.0,0.0,0.0,,0.0
28011,,0.0,0.0,0.0,0.0,,0.0
28012,,0.0,0.0,0.0,0.0,,0.0
28013,,0.0,0.0,0.0,0.0,,0.0
28014,0.0,0.0,0.0,0.0,0.6,1.0,0.002
