bid,CSDUID,DAUID,use1_gf,use2_gf,Bdrm_up,pop_ref,ref_val,pop_est,occu_rate,rawpop,cap_pop,SVIt_score,f0_scale,f0_elv
787000,5907028,59070170,resi,sfd,1,sfd1,1.5,1.5,0.95,1.5,1.43,1,0.14,0.1
2160000,5907041,59070244,resi,sfd,2,sfd2,1.8,1.8,0.89,1.8,1.6,6,0.96,0.1
3430000,5907041,59070243,resi,sfd,3,sfd3,2.4,2.4,0.94,2.4,2.26,1,0.23,0.1
5231001,5935020,59350355,resi,sfd,1,sfd1,1.3,1.3,0.63,1.3,0.82,3,0.25,0.1
5784000,5935020,59350256,resi,sfd,3,sfd3,2.2,2.2,0.35,2.2,0.77,4,0.31,0.1
9846000,5907028,59070279,resi,sfd,2,sfd2,1.8,1.8,0.9,1.8,1.62,5,0.81,0.1
10430001,5907028,59070170,resi,sfd,1,sfd1,1.5,1.5,0.95,1.5,1.43,1,0.14,0.1
2000,5907022,59070290,resi,sfd,2,sfd2,1.7,1.7,0.85,1.7,1.45,4,0.58,0.1
3000,5907022,59070290,resi,sfd,5,sfd4,2.8,2.8,0.85,2.8,2.38,4,0.95,0.1
8000,5907022,59070290,resi,sfd,2,sfd2,1.7,1.7,0.85,1.7,1.45,4,0.58,0.1
10000,5907022,59070289,resi,sfd,2,sfd2,1.7,1.7,0.75,1.7,1.28,2,0.26,0.1
11000,5907022,59070290,resi,sfd,1,sfd1,2.0,2.0,0.85,2.0,1.7,4,0.68,0.1
15000,5907022,59070289,resi,sfd,2,sfd2,1.7,1.7,0.75,1.7,1.28,2,0.26,0.1
16000,5907022,59070289,resi,sfd,3,sfd3,2.3,2.3,0.75,2.3,1.73,2,0.35,0.1
18000,5907022,59070290,resi,sfd,2,sfd2,1.7,1.7,0.85,1.7,1.45,4,0.58,0.1
19000,5907022,59070289,resi,sfd,3,sfd3,2.3,2.3,0.75,2.3,1.73,2,0.35,0.1
20000,5907022,59070289,resi,sfd,3,sfd3,2.3,2.3,0.75,2.3,1.73,2,0.35,0.1
21000,5907022,59070290,resi,sfd,4,sfd4,2.8,2.8,0.85,2.8,2.38,4,0.95,0.1
22000,5907022,59070290,resi,sfd,1,sfd1,2.0,2.0,0.85,2.0,1.7,4,0.68,0.1
24000,5907022,59070289,resi,sfd,1,sfd1,2.0,2.0,0.75,2.0,1.5,2,0.3,0.1
25000,5907022,59070289,resi,sfd,2,sfd2,1.7,1.7,0.75,1.7,1.28,2,0.26,0.1
28000,5907022,59070290,resi,mh,1,mh,1.77,1.77,0.85,1.8,1.5,4,0.6,0.1
30000,5907022,59070289,resi,sfd,1,sfd1,2.0,2.0,0.75,2.0,1.5,2,0.3,0.1
30001,5907022,59070289,resi,sfd,1,sfd1,2.0,2.0,0.75,2.0,1.5,2,0.3,0.1
28001,5907005,59070288,resi,mh,1,mh,1.4,1.4,0.71,1.4,0.99,5,0.5,0.1
28002,5907005,59070288,resi,mh,1,mh,1.4,1.4,0.71,1.4,0.99,5,0.5,0.1
28003,5907005,59070288,resi,mh,1,mh,1.4,1.4,0.71,1.4,0.99,5,0.5,0.1
28004,5907005,59070288,resi,mh,1,mh,1.4,1.4,0.71,1.4,0.99,5,0.5,0.1
28005,5907005,59070288,resi,mh,1,mh,1.4,1.4,0.71,1.4,0.99,5,0.5,0.1
28006,5907005,59070288,resi,mh,1,mh,1.4,1.4,0.71,1.4,0.99,5,0.5,0.1
28007,5907005,59070288,resi,mh,1,mh,1.4,1.4,0.71,1.4,0.99,5,0.5,0.1
28008,5907022,59070290,resi,mh,1,mh,1.77,1.77,0.85,1.8,1.5,5,0.75,0.1
53000,5907005,59070291,resi,sfd,2,sfd2,1.9,1.9,0.78,1.9,1.48,5,0.74,0.1
54000,5907005,59070291,resi,sfd,3,sfd3,2.0,2.0,0.78,2.0,1.56,5,0.78,0.1
57000,5907022,59070289,resi,sfd,3,sfd3,2.3,2.3,0.75,2.3,1.73,2,0.35,0.1
58000,5907005,59070291,resi,sfd,3,sfd3,2.0,2.0,0.78,2.0,1.56,2,0.31,0.1
60000,5907005,59070291,resi,sfd,3,sfd3,2.0,2.0,0.78,2.0,1.56,5,0.78,0.1
62000,5907005,59070291,resi,sfd,2,sfd2,1.9,1.9,0.78,1.9,1.48,5,0.74,0.1
68000,5907005,59070291,resi,sfd,4,sfd4,2.7,2.7,0.78,2.7,2.11,5,1.06,0.1
64001,5907005,59070291,resi,sfd,3,sfd3,2.0,2.0,0.78,2.0,1.56,5,0.78,0.1
73000,5907005,59070288,resi,sfd,4,sfd4,2.7,2.7,0.71,2.7,1.92,5,0.96,0.1
74000,5907022,59070289,resi,sfd,5,sfd4,2.8,2.8,0.75,2.8,2.1,2,0.42,0.1
77000,5907005,59070291,resi,sfd,2,sfd2,1.9,1.9,0.78,1.9,1.48,5,0.74,0.1
78000,5907005,59070291,resi,sfd,3,sfd3,2.0,2.0,0.78,2.0,1.56,5,0.78,0.1
79000,5907005,59070291,resi,sfd,2,sfd2,1.9,1.9,0.78,1.9,1.48,5,0.74,0.1
80000,5907005,59070291,resi,sfd,4,sfd4,2.7,2.7,0.78,2.7,2.11,5,1.06,0.1
81000,5907005,59070288,resi,sfd,2,sfd2,1.9,1.9,0.71,1.9,1.35,5,0.68,0.1
82000,5907005,59070288,resi,sfd,3,sfd3,2.0,2.0,0.71,2.0,1.42,5,0.71,0.1
86000,5907005,59070291,resi,sfd,3,sfd3,2.0,2.0,0.78,2.0,1.56,5,0.78,0.1
88000,5907005,59070291,resi,sfd,4,sfd4,2.7,2.7,0.78,2.7,2.11,5,1.06,0.1
89000,5907005,59070291,resi,sfd,4,sfd4,2.7,2.7,0.78,2.7,2.11,5,1.06,0.1
91000,5907005,59070291,resi,sfd,2,sfd2,1.9,1.9,0.78,1.9,1.48,5,0.74,0.1
93000,5907005,59070291,resi,sfd,3,sfd3,2.0,2.0,0.78,2.0,1.56,5,0.78,0.1
94000,5907005,59070291,resi,sfd,3,sfd3,2.0,2.0,0.78,2.0,1.56,5,0.78,0.1
97000,5907005,59070288,resi,sfd,6,sfd4,2.7,2.7,0.71,2.7,1.92,5,0.96,0.1
98000,5907005,59070288,resi,mf,9,mf,0.813829787,7.324468085,0.71,7.3,5.2,5,2.6,0.1
105000,5907005,59070291,resi,sfd,3,sfd3,2.0,2.0,0.78,2.0,1.56,5,0.78,0.1
106000,5907005,59070291,resi,sfd,3,sfd3,2.0,2.0,0.78,2.0,1.56,5,0.78,0.1
109000,5907005,59070291,resi,sfd,1,sfd1,1.5,1.5,0.78,1.5,1.17,5,0.59,0.1
110000,5907005,59070291,resi,sfd,4,sfd4,2.7,2.7,0.78,2.7,2.11,5,1.06,0.1
111000,5907005,59070291,resi,sfd,4,sfd4,2.7,2.7,0.78,2.7,2.11,5,1.06,0.1
112000,5907005,59070291,resi,sfd,2,sfd2,1.9,1.9,0.78,1.9,1.48,5,0.74,0.1
114000,5907005,59070291,resi,sfd,5,sfd4,2.7,2.7,0.78,2.7,2.11,5,1.06,0.1
119000,5907005,59070291,resi,sfd,3,sfd3,2.0,2.0,0.78,2.0,1.56,5,0.78,0.1
123000,5907005,59070291,resi,sfd,5,sfd4,2.7,2.7,0.78,2.7,2.11,5,1.06,0.1
124000,5907005,59070291,resi,sfd,3,sfd3,2.0,2.0,0.78,2.0,1.56,5,0.78,0.1
127000,5907005,59070291,resi,sfd,4,sfd4,2.7,2.7,0.78,2.7,2.11,5,1.06,0.1
129000,5907005,59070291,resi,sfd,3,sfd3,2.0,2.0,0.78,2.0,1.56,5,0.78,0.1
131000,5907005,59070291,resi,sfd,3,sfd3,2.0,2.0,0.78,2.0,1.56,5,0.78,0.1
134000,5907005,59070291,resi,sfd,4,sfd4,2.7,2.7,0.78,2.7,2.11,5,1.06,0.1
136000,5907005,59070291,resi,sfd,6,sfd4,2.7,2.7,0.78,2.7,2.11,5,1.06,0.1
144000,5907005,59070291,resi,sfd,2,sfd2,1.9,1.9,0.78,1.9,1.48,5,0.74,0.1
145000,5907005,59070291,resi,sfd,4,sfd4,2.7,2.7,0.78,2.7,2.11,5,1.06,0.1
146000,5907005,59070291,resi,sfd,6,sfd4,2.7,2.7,0.78,2.7,2.11,5,1.06,0.1
151000,5907005,59070291,resi,sfd,6,sfd4,2.7,2.7,0.78,2.7,2.11,5,1.06,0.1
159000,5907005,59070291,resi,sfd,3,sfd3,2.0,2.0,0.78,2.0,1.56,5,0.78,0.1
162000,5907005,59070291,resi,mf,6,mf,0.813829787,4.882978723,0.78,4.9,3.81,5,1.91,0.1
173000,5907005,59070291,resi,sfd,1,sfd1,1.5,1.5,0.78,1.5,1.17,5,0.59,0.1
174000,5907005,59070292,resi,sfd,1,sfd1,1.5,1.5,0.86,1.5,1.29,6,0.77,0.1
177000,5907005,59070291,resi,sfd,1,sfd1,1.5,1.5,0.78,1.5,1.17,5,0.59,0.1
180000,5907005,59070291,resi,sfd,4,sfd4,2.7,2.7,0.78,2.7,2.11,5,1.06,0.1
181000,5907005,59070288,resi,sfd,2,sfd2,1.9,1.9,0.71,1.9,1.35,5,0.68,0.1
182000,5907005,59070288,resi,sfd,1,sfd1,1.5,1.5,0.71,1.5,1.07,5,0.54,0.1
183000,5907005,59070288,resi,sfd,3,sfd3,2.0,2.0,0.71,2.0,1.42,5,0.71,0.1
188000,5907005,59070288,resi,sfd,3,sfd3,2.0,2.0,0.71,2.0,1.42,5,0.71,0.1
189000,5907005,59070288,resi,sfd,4,sfd4,2.7,2.7,0.71,2.7,1.92,5,0.96,0.1
190000,5907005,59070288,resi,sfd,3,sfd3,2.0,2.0,0.71,2.0,1.42,5,0.71,0.1
191000,5907005,59070292,resi,mf,11,mf,0.813829787,8.95212766,0.86,9.0,7.7,6,4.62,0.1
192000,5907005,59070291,resi,sfd,4,sfd4,2.7,2.7,0.78,2.7,2.11,5,1.06,0.1
193000,5907005,59070291,resi,sfd,3,sfd3,2.0,2.0,0.78,2.0,1.56,5,0.78,0.1
194000,5907005,59070291,resi,sfd,3,sfd3,2.0,2.0,0.78,2.0,1.56,5,0.78,0.1
195000,5907005,59070291,resi,sfd,4,sfd4,2.7,2.7,0.78,2.7,2.11,5,1.06,0.1
196000,5907005,59070291,resi,sfd,3,sfd3,2.0,2.0,0.78,2.0,1.56,5,0.78,0.1
200000,5907005,59070291,resi,sfd,4,sfd4,2.7,2.7,0.78,2.7,2.11,5,1.06,0.1
203000,5907005,59070291,resi,sfd,4,sfd4,2.7,2.7,0.78,2.7,2.11,5,1.06,0.1
204000,5907005,59070291,resi,sfd,4,sfd4,2.7,2.7,0.78,2.7,2.11,5,1.06,0.1
205000,5907005,59070288,resi,sfd,4,sfd4,2.7,2.7,0.71,2.7,1.92,5,0.96,0.1
207000,5907005,59070288,resi,mh,1,mh,1.4,1.4,0.71,1.4,0.99,5,0.5,0.1
208000,5907005,59070291,resi,sfd,2,sfd2,1.9,1.9,0.78,1.9,1.48,5,0.74,0.1
210000,5907005,59070288,resi,sfd,4,sfd4,2.7,2.7,0.71,2.7,1.92,5,0.96,0.1
211000,5907005,59070288,resi,sfd,3,sfd3,2.0,2.0,0.71,2.0,1.42,5,0.71,0.1
213000,5907005,59070292,resi,sfd,6,sfd4,2.7,2.7,0.86,2.7,2.32,6,1.39,0.1
214000,5907005,59070292,resi,sfd,6,sfd4,2.7,2.7,0.86,2.7,2.32,6,1.39,0.1
215000,5907005,59070288,resi,sfd,4,sfd4,2.7,2.7,0.71,2.7,1.92,5,0.96,0.1
207001,5907005,59070288,resi,mh,1,mh,1.4,1.4,0.71,1.4,0.99,5,0.5,0.1
207002,5907005,59070288,resi,mh,1,mh,1.4,1.4,0.71,1.4,0.99,5,0.5,0.1
220000,5907005,59070288,resi,sfd,3,sfd3,2.0,2.0,0.71,2.0,1.42,5,0.71,0.1
207003,5907005,59070288,resi,mh,1,mh,1.4,1.4,0.71,1.4,0.99,5,0.5,0.1
225000,5907005,59070288,resi,sfd,2,sfd2,1.9,1.9,0.71,1.9,1.35,5,0.68,0.1
226000,5907005,59070292,resi,sfd,2,sfd2,1.9,1.9,0.86,1.9,1.63,6,0.98,0.1
229000,5907005,59070292,resi,sfd,4,sfd4,2.7,2.7,0.86,2.7,2.32,6,1.39,0.1
231000,5907005,59070292,resi,sfd,5,sfd4,2.7,2.7,0.86,2.7,2.32,6,1.39,0.1
232000,5907005,59070292,resi,sfd,3,sfd3,2.0,2.0,0.86,2.0,1.72,6,1.03,0.1
233000,5907005,59070287,resi,sfd,4,sfd4,2.7,2.7,0.62,2.7,1.67,5,0.84,0.1
234000,5907005,59070286,resi,mf,35,mf,0.813829787,28.48404255,0.6,28.5,17.09,3,5.13,0.1
235000,5907005,59070291,resi,sfd,3,sfd3,2.0,2.0,0.78,2.0,1.56,5,0.78,0.1
237000,5907005,59070286,resi,sfd,1,sfd1,1.5,1.5,0.6,1.5,0.9,3,0.27,0.1
238000,5907005,59070286,resi,mf,61,mf,0.813829787,49.64361702,0.6,49.6,29.79,3,8.94,0.1
237001,5907005,59070286,resi,sfd,1,sfd1,1.5,1.5,0.6,1.5,0.9,3,0.27,0.1
240000,5907005,59070288,resi,sfd,3,sfd3,2.0,2.0,0.71,2.0,1.42,5,0.71,0.1
243000,5907005,59070288,resi,sfd,2,sfd2,1.9,1.9,0.71,1.9,1.35,5,0.68,0.1
249000,5907005,59070286,resi,sfd,2,sfd2,1.9,1.9,0.6,1.9,1.14,3,0.34,0.1
250000,5907005,59070286,resi,sfd,2,sfd2,1.9,1.9,0.6,1.9,1.14,3,0.34,0.1
251000,5907005,59070288,resi,sfd,4,sfd4,2.7,2.7,0.71,2.7,1.92,5,0.96,0.1
252000,5907005,59070287,resi,sfd,2,sfd2,1.9,1.9,0.62,1.9,1.18,5,0.59,0.1
253000,5907005,59070286,resi,mf,4,mf,0.813829787,3.255319149,0.6,3.3,1.95,3,0.59,0.1
254000,5907005,59070286,resi,sfd,1,sfd1,1.5,1.5,0.6,1.5,0.9,3,0.27,0.1
255000,5907005,59070286,resi,mf,12,mf,0.813829787,9.765957447,0.6,9.8,5.86,3,1.76,0.1
256000,5907005,59070286,resi,mf,10,mf,0.813829787,8.138297872,0.6,8.1,4.88,3,1.46,0.1
257000,5907005,59070286,resi,mf,10,mf,0.813829787,8.138297872,0.6,8.1,4.88,3,1.46,0.1
258000,5907005,59070288,resi,sfd,3,sfd3,2.0,2.0,0.71,2.0,1.42,5,0.71,0.1
259000,5907005,59070286,resi,mf,18,mf,0.813829787,14.64893617,0.6,14.6,8.79,3,2.64,0.1
260000,5907005,59070286,resi,mf,4,mf,0.813829787,3.255319149,0.6,3.3,1.95,3,0.59,0.1
261000,5907005,59070286,resi,mf,4,mf,0.813829787,3.255319149,0.6,3.3,1.95,3,0.59,0.1
264000,5907005,59070287,resi,sfd,4,sfd4,2.7,2.7,0.62,2.7,1.67,5,0.84,0.1
265000,5907005,59070287,resi,sfd,1,sfd1,1.5,1.5,0.62,1.5,0.93,5,0.47,0.1
267000,5907005,59070287,resi,sfd,1,sfd1,1.5,1.5,0.62,1.5,0.93,5,0.47,0.1
269000,5907005,59070287,resi,sfd,3,sfd3,2.0,2.0,0.62,2.0,1.24,5,0.62,0.1
270000,5907005,59070287,resi,sfd,3,sfd3,2.0,2.0,0.62,2.0,1.24,5,0.62,0.1
271000,5907005,59070287,resi,sfd,3,sfd3,2.0,2.0,0.62,2.0,1.24,5,0.62,0.1
272000,5907005,59070287,resi,sfd,3,sfd3,2.0,2.0,0.62,2.0,1.24,5,0.62,0.1
273000,5907005,59070287,resi,sfd,6,sfd4,2.7,2.7,0.62,2.7,1.67,5,0.84,0.1
274000,5907005,59070287,resi,mf,33,mf,0.813829787,26.85638298,0.62,26.9,16.65,5,8.33,0.1
275000,5907005,59070286,resi,mf,4,mf,0.813829787,3.255319149,0.6,3.3,1.95,3,0.59,0.1
277000,5907005,59070288,resi,sfd,4,sfd4,2.7,2.7,0.71,2.7,1.92,5,0.96,0.1
278000,5907005,59070288,resi,sfd,3,sfd3,2.0,2.0,0.71,2.0,1.42,5,0.71,0.1
279000,5907005,59070288,resi,sfd,3,sfd3,2.0,2.0,0.71,2.0,1.42,5,0.71,0.1
282000,5907005,59070286,resi,mf,8,mf,0.813829787,6.510638298,0.6,6.5,3.91,3,1.17,0.1
